I believe in America.                                                                 --- Acredito na América.
After we make the move to Nevada you can leave the Corleone family and go on your own. --- Depois de nos mudarmos para o Nevada, podem deixar a Família Corleone e seguir o vosso caminho. - Depois de partirmos para Nevada.
- How long will that be?                                                              --- - Quanto tempo será?
- Six months.                                                                         --- Seis meses.
Forgive me, but with you gone, me and Pete will come under Barzini's thumb.           --- Desculpe, Padrinho, mas quando partirem, eu e o Pete ficaremos sob a alçada do Barzini, mais cedo ou mais tarde.
I hate that Barzini.                                                                  --- E eu odeio aquele Barzini!
In six months´ time there will be nothing left to build on.                           --- Em seis meses, não haverá nada onde possamos começar.
- Do you have faith in my judgment?                                                   --- - Têm fé na minha opinião?
- Yes.                                                                                --- - Sim.
- Do I have your loyalty?                                                             --- - Tenho a vossa lealdade?
- Always, Godfather.                                                                  --- - Sim, sempre, Padrinho.
Then be a friend to Michael.                                                          --- Então, sejam amigos do Michael.
Do as he says.                                                                        --- Façam o que ele disser.
Things are negotiated that'll solve your problems and answer your questions.          --- Há coisas que estão a ser negociadas agora que vão resolver todos os vossos problemas e responder a todas as vossas questões.
That's all I can tell you now.                                                        --- É só isso que posso dizer-vos agora.
Carlo, you grew up in Nevada.                                                         --- Carlo, tu cresceste no Nevada.
When we make our move there, you'll be my right-hand man.                             --- Quando nos mudarmos para lá, vais ser o meu braço direito.
Tom Hagen is no longer consigliere.                                                   --- Tom Hagen já não é consigliere.
He'll be our lawyer in Vegas.                                                         --- Vai ser o nosso advogado em Vegas.
That's no reflection on Tom, just how I want it.                                      --- Não tem nenhum reflexo no Tom, mas é assim que eu quero.
If I ever need help, who's a better consigliere than my father?                       --- Além disso, se alguma vez eu precisar de ajuda quem melhor que o meu pai para ser meu Consigliere?
That's it.                                                                            --- Bem, é tudo.
- Thank you, Papa.                                                                    --- - Obrigado, pai.
- I'm happy for you, Carlo.                                                           --- - Estou feliz por ti, Carlo.
Mike... Why am I out?                                                                 --- Mike... por que fiquei de fora?
You're not a wartime consigliere, Tom.                                                --- Não és um consigliere de guerra, Tom.
Things may get rough with the move.                                                   --- As coisas podem ficar difíceis com a nossa mudança.
Tom.                                                                                  --- Tom...
I advised Michael.                                                                    --- Aconselhei o Michael.
I never thought you were a bad consigliere.                                           --- Nunca te considerei um mau consigliere.
I thought Santino was a bad Don, rest in peace.                                       --- Pensava que o Santino era um mau Don, que descanse em paz...
Michael has all my confidence, just as you do.                                        --- O Michael tem toda a minha confiança, tal como tu.
But there are reasons why you must have no part in what is going to happen.           --- Mas há razões para não entrares no que vai acontecer.
- Maybe I could help.                                                                 --- - Talvez eu pudesse ajudar.
- You're out, Tom.                                                                    --- - Estás fora, Tom.
I can't get over the way your face looks.                                             --- Estou espantado com a tua cara. Estás mesmo com óptimo aspecto!
This doctor did some job.                                                             --- Este médico fez um trabalho e pêras.
Did Kay talk you into it?                                                             --- Quem te convenceu?
Hey, hey, hey!                                                                        --- A Kay? Espera!
Leave them out here.                                                                  --- Deixa-as aqui. Tratamos delas depois.
He's tired and wants to clean up.                                                     --- Ele está cansado, quer refrescar-se.
Let me open the door, all right?                                                      --- Pronto, deixa-me abrir a porta, certo?
- Hello, Mike!                                                                        --- Olá, Mike!
Welcome to Las Vegas!                                                                 --- Bem-vindo a Las Vegas!
- All for you, kid!                                                                   --- Tudo para ti, rapaz!
It's all his idea.                                                                    --- A ideia é dele, certo? Não é?
- Your brother Freddy.                                                                --- - O teu irmão Freddy. - Raparigas?
- Girls?                                                                              --- Sai!
I' ll be right back.                                                                  --- - Eu volto já. - Está bem.
Keep them occupied.                                                                   --- Mantém-nas ocupadas.
- Anything you want, kid, anything.                                                   --- - Tudo o que quiseres, rapaz.
- Who are the girls?                                                                  --- - Quem são as raparigas?
- That's for you to find out.                                                         --- - Compete-te a ti descobrires.
- Get rid of them, Fredo.                                                             --- - Livra-te delas, Fredo.
- Hey, Mike...                                                                        --- Mike...
- I'm here on business.                                                               --- Fredo, estou aqui em negócios. Parto amanhã.
Get rid of them.                                                                      --- Livra-te delas.
I'm tired.                                                                            --- Estou cansado.
Get rid of the band too.                                                              --- Despacha também a banda.
Hey, take off.                                                                        --- Vão-se embora. Toca a andar.
Take off. Let's go.                                                                   --- Vá, vai-te embora.
Hey, that's it. Hey, Angelo.                                                          --- Acabou, Angelo.
Hey, come on!                                                                         --- Então!
Scram!                                                                                --- Desandem!
Come on, honey.                                                                       --- Anda, querida, vamos.
I don't know what's the matter with him, Johnny.                                      --- Vamos. Não sei, Johnny. Não sei que raio se passa com ele.
Sorry.                                                                                --- Desculpa. - Não há problema.
I don't know.                                                                         --- Não sei.
He's tired.                                                                           --- Ele está cansado... ele...
What happened to Moe Greene?                                                          --- Que aconteceu ao Moe Greene?
He had some business.                                                                 --- Ele disse que tinha uns assuntos.
He said to give him a call when the party started.                                    --- Disse para lhe telefonares quando a festa começasse.
Well, give him a call.                                                                --- Bem, telefona-lhe.
- Johnny, how are you?                                                                --- - Johnny, como estás?
- Nice to see you, Mike.                                                              --- - Olá, Mike. É bom voltar a ver-te.
- We're proud of you.                                                                 --- - Estamos todos orgulhosos de ti.
- Thanks.                                                                             --- - Obrigado, Mike.
Sit down, I want to talk to you.                                                      --- Senta-te, quero falar contigo.
The Don is proud too.                                                                 --- O Don também está orgulhoso de ti, Johnny.
Well, I owe it all to him.                                                            --- Bom... eu devo-lhe tudo.
He knows how grateful you are.                                                        --- Ele sabe como estás grato.
That's why he'd like to ask a favor of you.                                           --- É por isso que ele gostaria de te pedir um favor.
Mike, what can I do?                                                                  --- Mike, em que posso ser útil?
We're thinking of giving up our interests in the olive oil business and settling here. --- A Família Corleone está a pensar em deixar o negócio do azeite. Fixarmo-nos aqui.
Moe will sell us his share of the casino and the hotel, so we'll own all of it.       --- O Moe Greene vende-nos a parte dele do casino e do hotel. Assim, podia ser tudo da Família.
- Tom!                                                                                --- - Tom...
- Are you sure?                                                                       --- - Mike, tens a certeza disso?
Moe loves the business.                                                               --- O Moe adora o negócio.
He never said nothing about selling.                                                  --- Ele nunca me falou em vender.
I' ll make him an offer he can't refuse.                                              --- Vou fazer-lhe uma oferta irrecusável.
See, Johnny...                                                                        --- Vês, Johnny...
We figure that entertainment would draw gamblers to the casino.                       --- Pensamos que o espectáculo será um factor importante para atrair jogadores para o casino.
We hope you'll sign a contract to appear five times a year.                           --- Esperamos que assines um contrato para apareceres 5 vezes por ano.
Perhaps convince some of your friends in the movies to do the same.                   --- Talvez convenceres alguns dos teus amigos dos filmes a fazerem o mesmo.
We're counting on you.                                                                --- Estamos a contar contigo.
Sure, Mike.                                                                           --- Claro, Mike.
I' ll do anything for my godfather.                                                   --- Farei qualquer coisa pelo meu Padrinho, sabes disso.
Good.                                                                                 --- Óptimo.
Hey, Mike!                                                                            --- Mike.
Hello, fellows.                                                                       --- Olá, pessoal.
Everybody's here.                                                                     --- Estão todos aqui.
Freddy, Tom.                                                                          --- Freddy, Tom.
- Good to see you.                                                                    --- - É bom ver-te, Mike.
- How are you, Moe?                                                                   --- - Como estás, Moe?
Have everything?                                                                      --- Têm tudo o que precisam?
Specially prepared food, the best dancers, and good credit.                           --- O Chefe fez-vos um prato especial. Ficarão de língua de fora com as dançarinas e têm crédito.
Draw chips for everybody, so they can play on the house.                              --- Dá fichas a todos nesta sala para jogarem por conta da casa.
Is my credit good enough to buy you out?                                              --- O meu crédito chega para comprar a tua parte?
Buy me out?                                                                           --- Comprar a minha parte?
The casino, the hotel.                                                                --- O casino, o hotel.
The Corleone family wants to buy you out.                                             --- A Família Corleone quer comprar a tua parte.
The Corleone family wants to buy me out?                                              --- A Família Corleone quer comprar a minha parte? Não, eu compro a vossa.
No, I buy you out.                                                                    --- Vocês não me compram.
Your casino loses money.                                                              --- O teu casino perde dinheiro.
We can do better.                                                                     --- Talvez possamos fazer melhor.
- You think I'm skimming off the top?                                                 --- - Achas que estou a escorregar, Mike?
- You're unlucky.                                                                     --- - Estás com azar.
You Guineas make me laugh.                                                            --- Vocês" spaghettis" fazem-me mesmo rir.
I took Freddy in when you had a bad time, and now you try to push me out!             --- Faço-vos o favor de ficar com o Freddie quando estão a passar por uma fase má e, depois, tentam tirar-me o tapete!
You did that because we bankrolled your casino and the Molinari family guaranteed his safety. --- Aceitaste o Freddie porque a Família Corleone financiou o teu casino, porque a Família Molinari na Costa garantiu a segurança dele.
Let's talk business.                                                                  --- Agora, estamos a falar de negócios. Falemos de negócios. Sim.
Yes.                                                                                  --- Falemos de negócios, Mike.
First of all, you're all done.                                                        --- Antes de mais, vocês estão acabados.
You don't have that kind of muscle anymore.                                           --- A Família Corleone já não tem a força que tinha.
The Godfather is sick.                                                                --- O Padrinho está doente, certo?
You're getting chased out of New York by the others.                                  --- Estão a ser corridos de N. I. Pelos Barzini e pelas outras Famílias.
Do you think you can come to my hotel and take over?                                  --- Que achas que se passa aqui? Achas que podes vir ao meu hotel e ficar com ele?
I talked to Barzini.                                                                  --- Falei com o Barzini.
I can make a deal with him and still keep my hotel!                                   --- Posso fazer negócio com ele e ficar com o meu hotel.
Is that why you slapped my brother around in public?                                  --- É por isso que bates no meu irmão em público?
That was nothing, Mike.                                                               --- Isso não foi nada, Mike.
Moe didn't mean nothing by that.                                                      --- O Moe não quis dizer nada com isso.
He flies off the handle sometimes, but we're good friends.                            --- É claro que ele de vez em quando sai da linha, mas somos bons amigos, não é, Moe?
I have a business to run.                                                             --- Tenho um negócio para gerir.
I' ve got to kick asses sometimes.                                                    --- De vez em quando, tenho de fazer isso para que tudo corra bem.
We had an argument, so I had to straighten him out.                                   --- Tivemos uma pequena discussão. Por isso, tive de pô-lo na ordem.
You straightened my brother out?                                                      --- Puseste o meu irmão na ordem?
He was banging cocktail waitresses!                                                   --- Ele andava a" papar" duas empregadas de cada vez.
Players couldn't get a drink.                                                         --- Os jogadores não tinham bebidas à mesa.
What's wrong with you?                                                                --- Que se passa contigo?
I leave for New York tomorrow.                                                        --- Amanhã, parto para Nova Iorque.
Think about a price.                                                                  --- Pensa num preço.
Son-of-a- bitch!                                                                      --- Filho da puta!
I'm Moe Greene!                                                                       --- Sabes quem eu sou?
I made my bones when you were out with cheerleaders.                                  --- Sou o Moe Greene! Já eu trabalhava ainda tu andavas com chefes de claques!
Wait a minute, Moe. I have an idea.                                                   --- Espera um minuto, Moe.
Tom, you're the consigliere.                                                          --- Tom... Tom, és o consigliere Podes falar com o Don, e explicar...
Talk to the Don... Just a minute.                                                     --- Espera um minuto.
Don is semi-retired and Mike is in charge of the family business.                     --- O Don está semi-reformado e o Mike está a gerir o negócio da Família agora.
If you have anything to say, say it to Michael.                                       --- Se tens algo a dizer, diz ao Michael.
Mike, you don't come to Las Vegas and talk to a man like Moe Greene like that!        --- Não vens a Las Vegas falar assim a um homem como o Moe Greene!
Fredo...                                                                              --- Fredo...
You're my older brother, and I love you.                                              --- És o meu irmão mais velho e gosto muito de ti.
But don't ever take sides with anyone against the family again.                       --- Mas não voltes a tomar o partido de ninguém contra a Família.
Ever.                                                                                 --- Jamais.
I have to see my father and his people, so have dinner without me.                    --- Tenho de falar com o meu pai e com a gente dele. Por isso, janta sem mim.
This weekend we'll go out.                                                            --- Este fim-de-semana vamos sair.
We'll go to the city, see a show and have dinner.                                     --- Vamos à cidade, vamos ver um espectáculo e jantamos.
Your sister wants to ask you something.                                               --- Michael... Michael, a tua irmã quer pedir-te uma coisa.
- Let her ask.                                                                        --- - Deixa-a pedir.
- She's afraid to.                                                                    --- - Não, ela tem medo.
They want you to be godfather to their boy.                                           --- A Connie e o Carlo querem que sejas padrinho do filho deles.
- We'll see.                                                                          --- - Veremos.
- Will you?                                                                           --- - Serás?
Let me think about it.                                                                --- Deixa-me pensar nisso.
Come on.                                                                              --- Veremos.
Barzini will move against you first.                                                  --- O Barzini irá primeiro contra ti.
He'll set up a meeting with someone you absolutely trust.                             --- Marcará uma reunião com alguém em quem confias absolutamente.
Guaranteeing your safety.                                                             --- Garantindo a tua segurança.
And at that meeting you'll be assassinated.                                           --- E nessa reunião, serás assassinado.
I like to drink wine more than I used to.                                             --- Gosto de beber vinho mais do que era costume.
- Anyway, I'm drinking more.                                                          --- - Agora, bebo mais.
- It's good for you, Pop.                                                             --- - Faz-lhe bem, pai.
I don't know.                                                                         --- Não sei.
Are you happy with your wife and children?                                            --- Estás feliz com a tua mulher e os teus filhos?
- Very happy.                                                                         --- - Muito feliz.
- That's good.                                                                        --- - Isso é bom.
I hope you don't mind the way I keep going over this Barzini business.                --- Espero que não te importes que esteja sempre a insistir neste assunto do Barzini.
- No, not at all.                                                                     --- - Não, de modo nenhum.
- It's an old habit.                                                                  --- - É um hábito antigo.
I spend my life trying not to be careless.                                            --- Toda a vida tentei não ser descuidado.
Women and children can be careless, but not men.                                      --- As mulheres e as crianças podem ser descuidadas. Os homens, não.
- How's your boy?                                                                     --- - Como está o teu filho?
- He's good.                                                                          --- - Está bom.
He looks more like you every day.                                                     --- Está cada vez mais parecido contigo.
He's smarter than I am.                                                               --- É mais esperto do que eu.
He's three and can read the funny papers.                                             --- Com três anos, já lê banda desenhada.
Read the funny papers.                                                                --- Lê banda desenhada.
I want you to arrange for a telephone man to check all in-and out-going calls.        --- Quero que arranjes um homem na Companhia dos Telefones para ouvir todas as chamadas feitas e recebidas.
I did it already.                                                                     --- - Já fiz isso, pai.
I took care of that, Pop.                                                             --- - Pode ser qualquer um.
That's right.                                                                         --- - Já tratei disso, pai.
I forgot.                                                                             --- - É verdade.
What's the matter?                                                                    --- O que se passa?
What's bothering you?                                                                 --- O que é que o preocupa?
I' ll handle it.                                                                      --- Vou aguentar-me.
I told you I can handle it, so I' ll handle it.                                       --- Disse-lhe que o podia fazer. Vou aguentar-me.
I knew that Santino would have to go through all this.                                --- Sabia que o Santino teria de passar por tudo isto.
And Fredo...                                                                          --- E o Fredo...
Fredo was, well...                                                                    --- O Fredo era... enfim...
But I never wanted this for you.                                                      --- Mas eu nunca... Nunca quis isto para ti.
I worked my whole life.                                                               --- Passei a vida a trabalhar.
I don't apologize for taking care of my family.                                       --- Não peço desculpa por cuidar da minha família.
And I refused to be a fool, dancing on a string held by all those big shots.          --- E recusei-me a ser um fantoche, manipulado por todos esses manda-chuvas.
I don't apologize.                                                                    --- Não peço desculpa.
That's my life, but I thought that, that when it was your time, you would be the one to hold the strings. --- É a minha vida, mas julgava que, quando chegasse a tua vez, que serias tu a mexer os cordelinhos.
Senator Corleone.                                                                     --- Senador Corleone.
Governor Corleone. Something.                                                         --- Governador Corleone ou coisa parecida.
Another pezzonovante.                                                                 --- Mais um manda-chuva...
Well...                                                                               --- Bom...
Just wasn't enough time, Michael.                                                     --- Não houve tempo suficiente, Michael.
Wasn't enough time.                                                                   --- Não houve tempo suficiente.
We'll get there, Pop.                                                                 --- Havemos de lá chegar, pai.
We'll get there.                                                                      --- Havemos de lá chegar.
Now listen, whoever comes to you with this Barzini meeting, he's the traitor.         --- Agora, escuta... Quem quer que te propuser o encontro com o Barzini, é ele o traidor.
Don't forget that.                                                                    --- Não te esqueças disso.
Can I hold it, please?                                                                --- Posso segurar nele?
- Can I water these?                                                                  --- - Posso regar estes?
- Yes, go ahead.                                                                      --- - Sim, rega.
Over here, over here.                                                                 --- Deste lado, deste lado.
Be careful.                                                                           --- Tem cuidado.
You're spilling it.                                                                   --- Estás a entornar.
Anthony!                                                                              --- Antony!
Come here, come here.                                                                 --- Anda cá, anda cá.
That's it.                                                                            --- Pronto, já chega.
We'll put it right there.                                                             --- Vamos pô-lo aqui.
I' ll show you something. Come here.                                                  --- Vou mostrar-te uma coisa.
Stand there.                                                                          --- Fica aí.
Give me an orange!                                                                    --- Dê-me uma laranja!
That's a new trick.                                                                   --- É um novo truque.
You run in there.                                                                     --- Tu corres para ali.
Run in there.                                                                         --- Corre para ali.
Where are you?                                                                        --- Onde está?
Mike, can I have a minute?                                                            --- Mike, posso dar-lhe uma palavrinha?
Barzini wants to arrange a meeting.                                                   --- O Barzini quer marcar uma reunião.
He says we can straighten out any of our problems.                                    --- Diz que podemos resolver todos os nossos problemas.
- You talked to him?                                                                  --- - Falou com ele?
- Yeah.                                                                               --- - Falei.
I can arrange security.                                                               --- Posso garantir segurança.
On my territory.                                                                      --- No meu território.
- All right?                                                                          --- - Pode ser?
- All right.                                                                          --- - De acordo.
Do you know how they're going to come at you?                                         --- Sabes como vão abordar-te?
They're arranging a meeting in Brooklyn.                                              --- Estão a preparar uma reunião em Brooklyn.
Tessio's ground. Where I' ll be safe.                                                 --- No território do Tessio, onde estarei em segurança.
I always thought it would be Clemenza, not Tessio.                                    --- Sempre julguei que seria o Clemenza, e não o Tessio.
It's the smart move.                                                                  --- É uma jogada inteligente.
Tessio was always smarter.                                                            --- O Tessio sempre foi mais inteligente.
But I'm going to wait. After the baptism.                                             --- Mas eu vou esperar... até depois do baptizado.
I' ve decided to be godfather to Connie's baby.                                       --- Decidi ser padrinho do bebé da Connie.
And then I' ll meet with Don Barzini and Tattaglia.                                   --- E depois encontrar-me-ei com Don Barzini e Tattaglia...
All the heads of the five families.                                                   --- Com todos os chefes das cinco Famílias.
Michael, do you believe in God, the Father, Creator of Heaven and Earth?              --- Michael, crês em Deus, o Pai Todo - - Poderoso, Criador do Céu e da Terra?
I do.                                                                                 --- Creio.
Do you believe in Jesus Christ, His only Son, our Lord?                               --- Crês em Jesus Cristo, Seu único filho, Nosso Senhor?
I do.                                                                                 --- Creio.
Do you believe in the Holy Ghost, the Holy Catholic Church?                           --- Crês no Espírito Santo, na Santa Igreja Católica?
I do.                                                                                 --- Creio.
Michael Francis Rizzi, do you renounce Satan?                                         --- Michael Francis Rizzi, renuncias a Satanás?
I do renounce him.                                                                    --- Sim, renuncio.
And all his works?                                                                    --- E a todas as suas obras?
I do renounce them.                                                                   --- Sim, renuncio.
Oh, God!                                                                              --- Meu Deus!
- And all his pomps?                                                                  --- - E a todos os seus faustos?
- I do renounce them.                                                                 --- - Renuncio.
Michael Rizzi, will you be baptized?                                                  --- Michael Rizzi, serás baptizado?
I will.                                                                               --- Serei.
Michael Rizzi, go in peace, and may the Lord be with you. Amen.                       --- Michael Rizzi, vai em paz e que o Senhor te acompanhe.
Kay!                                                                                  --- Kay!
Kiss your godfather.                                                                  --- Beija o teu padrinho.
Can't go to Vegas.                                                                    --- - Carlo... - Sim?
Something's come up.                                                                  --- Não podes ir para Vegas.
Everybody has to leave without us.                                                    --- Surgiu uma coisa. Terão de partir sem nós.
- Mike, it's our first vacation!                                                      --- Mike, é a primeira vez que vamos de férias!
- Connie, please.                                                                     --- Por favor, Connie...
Go back to the house, wait for my call.                                               --- O que queres? Volta para casa.
It's important.                                                                       --- Espera pelo meu telefonema.
I' ll only be a couple of days.                                                       --- Será apenas por alguns dias.
We're on our way to Brooklyn.                                                         --- Vamos agora para Brooklyn.
- I hope Mike can get us a good deal.                                                 --- Espero que o Mike nos consiga um bom acordo, logo à noite.
- I'm sure he will.                                                                   --- Estou certo de que conseguirá.
Sal, Tom, the boss says he'll come in a separate car, so you two go on ahead.         --- Sal, Tom, o chefe disse que irá noutro carro. Disse para irem andando. Raios!
- That screws up my arrangements.                                                     --- Ele não pode fazer isso! Lixa todos os meus preparativos.
- That's what he said.                                                                --- - Foi o que ele disse.
I can't go either, Sal.                                                               --- - Eu também não posso ir, Sal.
Tell Mike it was only business.                                                       --- Diz ao Mike que era apenas uma questão de negócios.
I always liked him.                                                                   --- Eu sempre gostei dele.
- He understands that.                                                                --- - Ele sabe disso.
- Excuse me, Sal.                                                                     --- - Com licença, Sal...
Tom, can you get me off the hook?                                                     --- Tom, podes safar-me?
- For old times´ sake?                                                                --- Em nome dos bons velhos tempos?
- Can't do it, Sally.                                                                 --- Não posso, Sally.
You have to answer for Santino, Carlo.                                                --- Tens de responder pelo Santino, Carlo.
- Mike, you got it all wrong.                                                         --- Mike, estás muito enganado.
- You fingered Sonny for Barzini.                                                     --- Entregaste o Sonny à gente do Barzini.
That little farce you played with my sister.                                          --- E aquela fita que fizeste com a minha irmã...
- You think that could fool a Corleone?                                               --- Julgas que isso enganaria um Corleone? Mike, estou inocente.
- I'm innocent. I swear on the kids.                                                  --- Juro pelos miúdos.
- Please, don't do this. - Sit down.                                                  --- - Por favor, Mike, não me faças isso.
Don't do this to me, please.                                                          --- Mike, não me faças isso, por favor.
Barzini is dead.                                                                      --- O Barzini está morto.
So is Philip Tattaglia.                                                               --- O Philip Tattaglia, também.
Moe Greene.                                                                           --- Moe Greene.
Strachi.                                                                              --- Strachi.
Cuneo.                                                                                --- Cuneo.
Today I settle all family business, so don't tell me you're innocent, Carlo.          --- Hoje, estou a resolver todos os assuntos da Família. Por isso, não me digas que estás inocente, Carlo.
Admit what you did.                                                                   --- Confessa que o fizeste.
Get him a drink.                                                                      --- Arranja-lhe uma bebida.
Come on.                                                                              --- Vá lá...
Don't be afraid, Carlo.                                                               --- Não tenhas medo, Carlo. Vá lá.
Do you think I'd make my sister a widow?                                              --- Julgas que faria com que a minha irmã ficasse viúva?
I'm godfather to your son, Carlo.                                                     --- Sou padrinho do vosso filho, Carlo.
Go ahead, drink, drink.                                                               --- Vá lá, bebe. Bebe.
No, you're out of the family business.                                                --- Não, Carlo. Estás fora dos negócios da Família.
That's your punishment.                                                               --- É o teu castigo.
You're finished.                                                                      --- Estás acabado.
I'm putting you on a plane to Vegas.                                                  --- Vou meter-te num avião para Las Vegas.
Tom.                                                                                  --- Tom.
I want you to stay there.                                                             --- Quero que fiques lá.
Understand?                                                                           --- Percebeste?
Only don't tell me you're innocent.                                                   --- Mas não me digas que estás inocente.
Because it insults my intelligence.                                                   --- Porque isso é um insulto à minha inteligência.
Makes me very angry.                                                                  --- E enfurece-me bastante.
Who approached you?                                                                   --- Quem te procurou?
Tattaglia or Barzini?                                                                 --- O Tattaglia ou o Barzini?
It was Barzini.                                                                       --- Foi o Barzini.
Good.                                                                                 --- Óptimo.
There's a car waiting outside to take you to the airport.                             --- Está um carro à tua espera lá fora para te levar ao aeroporto.
I' ll call your wife and tell her what flight you're on.                              --- Vou telefonar à tua mulher a dizer-lhe qual o voo em que vais.
- Mike...                                                                             --- - Mike...
- Get out of my sight.                                                                --- - Desaparece da minha vista.
Hello, Carlo.                                                                         --- Olá, Carlo.
- I'm trying to tell you...                                                           --- - Estou a tentar dizer-te que...
- Mama, please!                                                                       --- - Por favor, mãe!
Michael!                                                                              --- Michael! Michael!
- What is it?                                                                         --- - O que se passa?
- Where is he?                                                                        --- - Onde está ele?
Michael, you lousy bastard!                                                           --- Michael, seu estupor!
You killed my husband.                                                                --- Mataste o meu marido!
You waited until Papa died, so nobody could stop you.                                 --- Esperaste que o pai morresse, para que ninguém pudesse deter-te, e mataste-o!
You blamed him for Sonny.                                                             --- Culpaste-o pela morte do Sonny. Sempre o fizeste.
Everybody did.                                                                        --- Toda a gente o fez.
But you never thought about me!                                                       --- Mas nunca pensaste em mim! Nunca te ralaste comigo!
Now what are we going to do?                                                          --- - E agora?
Connie.                                                                               --- O que vou fazer? - Connie...
Why do you think he kept Carlo at the Mall?                                           --- Por que é que julgas que ele manteve o Carlo no Centro Comercial?
He knew he was going to kill him.                                                     --- Já sabia que ia matá-lo!
And you stood godfather to our baby.                                                  --- E foste padrinho do nosso bebé.
You lousy cold-hearted bastard!                                                       --- Seu canalha insensível!
Want to know how many men he had killed with Carlo?                                   --- Queres saber quantos homens ele matou, além do Carlo?
Read the papers!                                                                      --- Lê os jornais!
That's your husband, that's your husband!                                             --- Foi o teu marido!
No!                                                                                   --- Não!
No, no...                                                                             --- Não, não...
Take her upstairs.                                                                    --- Levem-na lá para cima.
Get her a doctor.                                                                     --- Chamem um médico.
She's hysterical.                                                                     --- Está histérica.
Hysterical.                                                                           --- Histérica.
Michael, is it true?                                                                  --- Michael, é verdade?
- Don't ask me about my business, Kay.                                                --- Não me faças perguntas sobre os meus assuntos, Kay. É verdade?
- Is it true? Don't ask me about my business.                                         --- Não me faças perguntas sobre os meus assuntos.
Enough!                                                                               --- - Não...
All right.                                                                            --- Está bem.
This one time.                                                                        --- Só desta vez...
