How you doing, Keaton?                                                                --- Como estás, Keaton?
Do it now.                                                                            --- 
Move.                                                                                 --- Mexe-te.
-The answer is "no." -Mr. Soze will be most--                                         --- O Sr. Soze vai ficar muito desapontado...  Ouve-me, meu merdas, o Keyser Soze não existe.
Listen, cocksucker, there is no Keyser Soze.                                          --- Ouve-me, meu merdas, o Keyser Soze não existe.
Mention his name again, I'll kill you right now.                                      --- Se disseres o nome dele novamente, mato-te imediatamente.
A strange threat.                                                                     --- Estranha ameaça, Sr. Keaton.
I assume you've come here to kill me anyway.                                          --- Tenho de admitir que veio aqui para me matar.
We know that you can get to us... but now you know that we can get to you.            --- Nós sabemos que nos podes encontrar. Mas agora tu sabes que também te podemos encontrar.
I'm giving you one last chance to call this off.                                      --- Estou-te a dar uma última hipótese para cancelares tudo.
My employer has made up his mind.                                                     --- O meu patrão já tomou a sua decisão.
-He does not change it.                                                               --- Não a mudará.
-Neither do we.                                                                       --- Encontraste o Fenster.
You got Fenster, but you won't be able to get all of us.                              --- Mas não nos vais encontrar a todos. Pelo menos antes de um de nós acabar contigo.
Not before one of us gets through to you.                                             --- Eu acredito em si, Sr. McManus.
I believe you.                                                                        --- Acredito sinceramente.
I most sincerely do.                                                                  --- Acredito sinceramente.
You would not have been chosen were you not so suitable.                              --- Vocês não teriam sido escolhidos se não fossem tão bons.
But I cannot make this decision.                                                      --- Mas eu não posso tomar essa decisão.
Whatever you threaten me with is... ludicrous in comparison to what will be done to me... if I do not carry out my orders in full. --- Seja como for, qualquer que seja a ameaça que vocês me façam... não é nada... comparado com o que me farão se eu não fizer o que me mandaram.
I'm the guy that's gonna get you.                                                     --- Sou eu o gajo que te vai apanhar.
I just wanted you to know that.                                                       --- Desculpe-me, Sr. McManus.
I'm so sorry.                                                                         --- Desculpe-me, Sr. McManus.
I implore you, believe me... Mr. Soze is very real...                                 --- O Sr. Soze é bastante real e muito determinado.
-...and very determined.                                                              --- O Sr. Soze é bastante real e muito determinado.
-We'll see.                                                                           --- Isso é o que vamos ver.
Before you do me in... you will let me finish my business with Miss Finneran first, won't you? --- Antes de...me matar, Sr. McManus ...deixa-me primeiro acabar os meus negócios ...com a Sra. Finneran, por favor?
What did you say?                                                                     --- O que disse?
Edie Finneran.                                                                        --- Edie Finneran.
She's upstairs in my office... for an extradition deposition.                         --- Ela está lá em cima no meu escritório.
I requested she be put on the case personally.                                        --- Requeri pessoalmente que ela fosse incluída no caso.
She flew in yesterday.                                                                --- Ela apanhou ontem o avião.
No matter.                                                                            --- Não importa.
Kill away.                                                                            --- Mate-me, Sr. McManus.
You're lying.                                                                         --- Estou?
Am I?                                                                                 --- Estou?
Miss Finneran's escort while she's here in Los Angeles.                               --- A escolta da Sra. Finneran enquanto ela está em Los Angeles.
Never leaves her for a moment.                                                        --- Pensei que gostaria de saber que ela está em boas mãos.
I thought you'd be glad to know she's in good hands.                                  --- Pensei que gostaria de saber que ela está em boas mãos.
Get some rest.                                                                        --- Agora descansem um pouco.
The boat will be ready for you on Friday.                                             --- O navio estará pronto para vocês na sexta.
If I see you or any of your friends before then... Miss Finneran will be the victim of a most gruesome violation before she dies. --- Se eu vir algum antes disso...  A Sra. Finneran vai ser vítima... de uma cruel violação antes de morrer.
As indeed will your father, Mr. Hockney... and your Uncle Randall in Arizona, Mr. Kint. --- Assim como o seu pai, Sr. Hockney... e o seu tio Randall, no Arizona, Mr. Kint.
I might only castrate Mr. McManus' nephew, David.                                     --- E talvez apenas castre... o sobrinho do Sr. McManus.
Do I make myself clear?                                                               --- Fui claro?
We will take care of the two bodies downstairs.                                       --- Nós tratamos dos dois cadáveres que estão lá em baixo.
We'll add them to the cost of Mr. Fenster.                                            --- Digamos que é o pagamento pelo Sr. Fenster.
If you'll excuse me, gentlemen.                                                       --- 
It's a logistical nightmare.                                                          --- Isto é um pesadelo logístico.
Close quarters.                                                                       --- 10, talvez 20 homens.
10, maybe 20 men.                                                                     --- 10, talvez 20 homens.
There's no tellin' how many more are gonna be below deck.                             --- Não se sabe quantos mais estarão no dique.
Can we stealth these guys?                                                            --- Não podemos despistá-los?
With all that coke, they're gonna be ready.                                           --- Com tanta cocaína, vão estar preparados.
Which brings me to sunny point Number 2.                                              --- O que nos leva ao segundo problema.
Even if one of us gets through and jacks the boat, we still got nothin'.              --- Mesmo que consigamos tomar o barco, ainda não teremos conseguido nada.
What if we wait for the money?                                                        --- E se nós esperarmos pelo dinheiro?
Ten more men at least.                                                                --- 10 homens a mais, pelo menos.
In my opinion, it can't be done.                                                      --- Olhem, na minha opinião não é possível fazê-lo.
Anyone who goes in is not comin' out alive.                                           --- Qualquer um que lá vá, não voltará vivo.
-I'm gonna wait for the money.                                                        --- E se nós esperarmos pelo dinheiro?
-Me, too. -Did you hear what he just said?                                            --- 
-If I'm goin' in, I want a cut.                                                       --- Não quero acreditar que nos vamos meter numa morte certa.
Me, too.                                                                              --- 
There's nothing that can't be done.                                                   --- Não há nada que não possa ser feito.
I just can't believe we're gonna walk in to certain death.                            --- Não quero acreditar que nos vamos meter numa morte certa.
The news said it's raining in New York.                                               --- O noticiário disse que está a chover em Nova lorque.
What language is that?                                                                --- Que língua é esta?
I don't know.                                                                         --- Russo, acho eu.
Russian, I think.                                                                     --- Russo, acho eu.
Hungarian?                                                                            --- Húngaro?
The package has arrived, gentlemen.                                                   --- 
You kids ready?                                                                       --- Estão prontos, crianças?
I would be if I didn't have to stop and answer you.                                   --- Eu estaria se não tivesse de parar para te responder.
I'm ready.                                                                            --- Estou pronto.
McManus, you better be set up in 10 seconds.                                          --- McManus, é melhor estares pronto em 10 segundos.
I'm ready.                                                                            --- Estou pronto.
I want you to stay here.                                                              --- Quero que fiques aqui.
I'm supposed to cover-- If we don't get out of this, take the money and go.           --- Escuta, se nós não nos safarmos, quero que tu pegues no dinheiro e que fujas.
I can't--                                                                             --- 
Find Edie.                                                                            --- Conta-lhe tudo.
Tell her everything that happened.                                                    --- Conta-lhe tudo. Ela tem influência.
She knows people.                                                                     --- Saberá o que fazer.
She knows what to do.                                                                 --- Faz o que te digo.
If I don't get Kobayashi my way, she'll get him her way.                              --- Se eu não apanhar o Kobayashi à minha maneira, ela apanha-o à maneira dela.
-What if I-- -Just do what I say.                                                     --- Faz o que te digo.
Please.                                                                               --- Por favor.
Tell her that...                                                                      --- Diz-lhe que...
Tell her I tried.                                                                     --- Diz-lhe que tentei.
McManus, he's on his way.                                                             --- McManus, ele está a caminho. Já lá estou.
I'm there.                                                                            --- Já lá estou.
One, two, three, four... five, six, seven...                                          --- 
Oswald was a fag.                                                                     --- O Oswald era um paneleiro.
Hi.                                                                                   --- Boa noite.
How you doin'?                                                                        --- Como estão?
Is there a problem?                                                                   --- problema?
Now.                                                                                  --- Agora...
"Old McDonald had a farm "Ee-aye, ee-aye, O "And on that farm, he shot some guys"     --- 
Elvis has left the building.                                                          --- Elvis abandonou o edifício.
Hold fire.                                                                            --- Porque não fugiste?
Hold fire.                                                                            --- Porque não fugiste?
Vamonos!                                                                              --- 
Hello.                                                                                --- Porque não fugiste?
Why didn't you run?                                                                   --- Bloqueei.
I froze up.                                                                           --- Bloqueei.
I thought about Fenster and how he looked when we buried him.                         --- Lembrei-me do Fenster e de como estava quando o enterrámos.
Then I thought about Keaton, and it looked like he might pull it off.                 --- Lembrei-me do Fenster e de como estava quando o enterrámos.
A boy found a body on the beach today.                                                --- Um miúdo encontrou um corpo na praia hoje de manhã.
Thrown clear of the boat. Shot twice in the head.                                     --- Foi atirado quando o barco ardeu ...levou dois tiros na cabeça.
Two guys from the Bureau identified him.                                              --- O nome dele era Arturo Marquez, um pequeno traficante da Argentina.
-What else? -His name was Arturo Márquez.                                             --- 
A petty smuggler from Argentina.                                                      --- O nome dele era Arturo Marquez, um pequeno traficante da Argentina.
He was arrested last year in New York for trafficking.                                --- Foi preso no ano passado em Nova lorque por tráfico.
He escapes to California.                                                             --- Ele fugiu para a Califórnia.
They pick him up in Long Beach. They're setting up extradition, he escapes again.     --- Capturaram-no em Long Beach ...estavam a tratar da extradição mas ele fugiu outra vez.
Now, get this.                                                                        --- Agora, ouve-me isto...
Edie Finneran's brought in to advise on the proceedings.                              --- A Edie Finneran veio para supervisionar os procedimentos.
Kobayashi.                                                                            --- Kobayashi.
New York faxed me a copy of his testimony.                                            --- Nova lorque mandou-me um fax do testemunho dele.
-He was a rat.                                                                        --- Um grande bufo.
-A big fucking rat.                                                                   --- Ele era um bufo.
Arturo was very opposed to returning to prison.                                       --- O Arturo não queria voltar para a prisão de maneira nenhuma.
So much so, that he named close to 50 people.                                         --- Tanto que ele nomeou quase 50 pessoas.
Guess who he named in the finale.                                                     --- Adivinha quem ele nomeou no fim?
Keyser Soze.                                                                          --- E há mais.
There's more.                                                                         --- E há mais.
I'll tell you what I know.                                                            --- Diz-me para parar quando te parecer familiar.
Stop me when this sounds familiar.                                                    --- Diz-me para parar quando te parecer familiar.
There was no dope on that boat.                                                       --- Não havia drogas naquele barco.
You, stay quiet.                                                                      --- Ele está aqui!
He's here.                                                                            --- Sei que ele está aqui!
I know he's here.                                                                     --- Ele está aqui!
That's him.                                                                           --- É ele!
I'm telling you, that's him.                                                          --- Sei que ele está cá!
I know he's here!                                                                     --- Sei que ele está cá!
-You can't understand.                                                                --- 
That's him.                                                                           --- - É ele, estás-me a ouvir?
-Shut up. That's him.                                                                 --- Estou-te a dizer é o Keyser Soze!
You hear me?                                                                          --- - É ele, estás-me a ouvir?
I'm telling you, it's Keyser Soze!                                                    --- Estou-te a dizer é o Keyser Soze!
-Where's Hockney?                                                                     --- - Não sei.
-I don't know.                                                                        --- Não há cocaína!
There's no coke.                                                                      --- Não há cocaína!
-What?                                                                                --- - Ouviste bem.
-You heard me, dumb fuck.                                                             --- 
-There's no coke!                                                                     --- Revistei o navio inteiro!
-What the fuck?                                                                       --- Revistei o navio inteiro!
No coke?                                                                              --- Não há cocaína!
I've been up and down in every fucking room.                                          --- 
-There's gotta be coke!                                                               --- - Não há nada!
-There is nothing!                                                                    --- Nada!
Nothing!                                                                              --- Estás-me a mentir!
Don't you fuck with me.                                                               --- Não há...
There is no fucking coke!                                                             --- - Não há nada!
I'm out of here.                                                                      --- Vou sair daqui.
I told them nothing.                                                                  --- Não lhes disse nada.
I swear.                                                                              --- Não contei nada.
I told them nothing.                                                                  --- Uma coisa muito estranha.
Please.                                                                               --- Por favor!
What the fuck is goin' on?                                                            --- 
The strangest thing.                                                                  --- Uma coisa muito estranha.
That's what you said. You saw a man in a suit with a slim build.                      --- Foi o que disseste na tua declaração, que viste um homem magro de fato.
Wait a minute.                                                                        --- Tu estás a dizer que viste o Keyser Soze?
Are you saying you saw Keyser Soze?                                                   --- Disseste ao Ministério Público que não sabias quem ele era!
-You said you didn't know who it was.                                                 --- Tenho a certeza que havia droga naquele barco.
-I know there was dope on that boat.                                                  --- Tenho a certeza que havia droga naquele barco.
-Stop stallin'.                                                                       --- 
-I'm not. -You know what I'm getting at.                                              --- - Não me chateie.
-Get out of my face. I got immunity.                                                  --- Eu tenho imunidade, e não tenho de aguentar esta merda.
I don't have to take this.                                                            --- Tu sabes... onde eu quero chegar, Verbal.
You know what I'm getting at.                                                         --- Eu não sei do que você está a falar.
-I don't know what you're talking about.                                              --- Eu tenho imunidade, e não tenho de aguentar esta merda.
-The truth!                                                                           --- falo da verdade!
Try to tell me you saw someone kill Keaton.                                           --- - Não sei do que está a falar!
I did.                                                                                --- Estás a mentir!
You're lying to me.                                                                   --- Estás a mentir!
-You've known this whole time.                                                        --- Sempre soubeste de tudo!
-I don't know what you're saying.                                                     --- Não sei do que está a falar.
I did see Keaton get shot.                                                            --- Eu juro que vi o Keaton levar um tiro.
I swear to you.                                                                       --- Então por que não o ajudaste?
Why didn't you help him?                                                              --- Porque não o ajudaste?
You had a gun.                                                                        --- Ele era teu amigo!
He was your friend.                                                                   --- Ele era teu amigo!
Because I was afraid.                                                                 --- Porque estava com medo.
-Afraid.                                                                              --- Com medo de quê?
-Afraid of what?                                                                      --- Com medo de quê?
-Afraid of-- -I knew it was Keyser Soze.                                              --- Sabia que era o Keyser Soze!
It was Keyser Soze, I mean, the Devil himself.                                        --- Quero dizer, Agente Kujan, o demónio em pessoa.
How do you shoot the Devil in the back?                                               --- Como é que se dispara contra o demónio pelas costas?
What if you miss?                                                                     --- E se não se acerta?
Let's get back to the pier.                                                           --- 
-Arturo Márquez.                                                                      --- Arturo Marquez.
Ever hear of him?                                                                     --- Já ouviste falar dele?
-What?                                                                                --- O quê?
No. He was a stool pigeon for the Justice Department.                                 --- Não.
He swore out a statement to federal marshals... saying that he had seen and could positively identify one... Keyser Soze. --- Ele jurou numa declaração aos federais que tinha visto, e que poderia identificar o Keyser Soze. É o que diz aqui no relatório.
It says right here in the report.                                                     --- É o que diz aqui no relatório.
He had intimate knowledge of his businesses, including... but not exclusive to, drug trafficking and murder. --- Ele tinha um conhecimento profundo dos seus negócios ...incluindo, mas não de forma exclusiva... tráfico de drogas e assassínios.
I never heard of him.                                                                 --- - Nunca ouvi falar dele.
His own people were selling him to a gang of Hungarians.                              --- - O seu próprio pessoal ia vendê-lo ...a um grupo de Húngaros.
Most likely the same Hungarians that Soze all but wiped out back in Turkey.           --- Mais precisamente os mesmos húngaros que o Soze despachou na Turquia.
The money wasn't there for dope.                                                      --- O dinheiro não era para a droga.
The Hungarians were going to buy the one guy... that could incriminate Keyser Soze.   --- Os húngaros iam comprar o único tipo ...que podia incriminar o Keyser Soze.
-I said I never heard of him.                                                         --- Já disse que nunca ouvi falar dele.
-But Keaton did.                                                                      --- Mas o Keaton ouviu.
Edie Finneran was Márquez's extradition advisor.                                      --- A Edie Finneran era... a conselheira de extradição do Marquez.
She knew who he was and what he knew.                                                 --- - Eu não entend... - Não havia droga naquele barco.
There were no drugs on that boat.                                                     --- - Não havia droga naquele barco. Era uma matança.
It was a hit. A suicide mission to whack out the one guy... that could finger Keyser Soze. --- Era uma matança.
So Soze put some thieves to it... men he knew he could march into certain death.      --- Homens que ele sabia que podia mandar para a morte certa. Está a dizer que o Soze nos mandou para matar alguém?
You're saying Soze sent us to kill someone?                                           --- Está a dizer que o Soze nos mandou para matar alguém?
I'm saying Keaton did.                                                                --- Verbal, ele deixou-te para trás por uma razão.
He left you behind for a reason.                                                      --- Faz o que te estou a dizer.
Just do what I tell you.                                                              --- Faz o que te estou a dizer.
If you all knew that Soze could find you anywhere... why did he give you the money to run? --- Se todos vocês sabiam que o Soze vos podia encontrar em qualquer lado... porque te deu ele o dinheiro para fugir?
-He could have used you on the boat.                                                  --- Ele podia ter-te usado no ataque ao barco.
-He wanted me to live.                                                                --- Queria que eu sobrevivesse.
A one-time dirty cop without a loyalty in the world... finds it in his heart to save a worthless rat cripple? --- Um policia corrupto sem uma pinga de lealdade no mundo... acha que vale a pena salvar... um aleijado que não vale nada?
No, sir.                                                                              --- Não, senhor!
Why?                                                                                  --- Edie!
Edie.                                                                                 --- Edie!
I don't buy that reform story for a minute.                                           --- Não engulo essa história de maneira nenhuma!
Even if I did... I certainly don't believe he would send you to protect her.          --- Pelo menos, não acredito... que ele te tivesse mandado para a protegeres.
So why?                                                                               --- Então porquê?
Because he was my friend.                                                             --- Porque ele era meu amigo!
No, he wasn't your friend.                                                            --- Ele não era teu amigo.
Keaton didn't have friends.                                                           --- O Keaton não tinha amigos!
What are you doing here?                                                              --- O que estás aqui a fazer?
He saved you because he wanted it that way.                                           --- Ele poupou-te ...porque ele assim queria!
It was his will.                                                                      --- Era a vontade dele.
-Keaton was Keyser Soze.                                                              --- - O Keaton era o Keyser Soze!
-No. A man who could wrangle the wills of men like Hockney and McManus.               --- - Não!
A man who could engineer a police lineup... through all his years of contacts in NYPD. --- O tipo de homem... que poderia ter arranjado a sala de suspeitos... com todos os seus anos de contactos na Polícia de Nova lorque.
The kind of man who could've killed Edie Finneran.                                    --- O tipo de homem que podia ter assassinado a Edie Finneran!
She was found yesterday at a hotel in Pennsylvania... shot twice in the head.         --- Ela foi encontrada ontem num hotel da Pensilvânia. Com dois tiros na cabeça.
What do you think about Keaton now?                                                   --- O que achas do Keaton agora, Verbal?
Edie? He used all of you to get him on that boat.                                     --- - Ele usou-vos a todos, para o colocarem naquele barco.
He couldn't get on alone.                                                             --- Não teria conseguido chegar lá sozinho.
He had to pull the trigger himself... to make sure he got his man... the one man that could identify him. --- Ele tinha de puxar o gatilho para ter certeza que matou o homem. O único homem que podia identificá-lo.
This is all bullshit.                                                                 --- Tu disseste que o viste morrer?
You said you saw him die.                                                             --- Tu disseste que o viste morrer?
Or did you?                                                                           --- 
You had to hide when you heard the police cars.                                       --- Tiveste de te esconder quando ouviste os carros da polícia.
You said you heard the shot before the fire... but you didn't see him die.            --- Tu disseste que ouviste o tiro antes da explosão. Mas não o viste morrer.
-I knew him.                                                                          --- Ele programou-te!
He would never-- -He programmed you.                                                  --- Ele programou-te!
He programmed you to tell us what he wanted you to.                                   --- Programou-te para nos dizeres exactamente o que ele queria!
He knew we were close.                                                                --- De onde vinha a pressão política?
You said it yourself.                                                                 --- De onde vinha a pressão política?
Where was the political pressure to protect you from?                                 --- De onde vinha a pressão política?
It was Keaton.                                                                        --- Era o Keaton!
-Immunity was your reward.                                                            --- Porquê eu?
-But why me?                                                                          --- Porque estavas a ser protegido?
Why not Fenster or McManus or Hockney?                                                --- Porquê eu? Eu sou estúpido, eu sou um aleijado!
Why me? I'm stupid.                                                                   --- Eu sou estúpido, eu sou um aleijado!
I'm a cripple.                                                                        --- Porque tu és um aleijado, Verbal.
Why me?                                                                               --- Porquê eu?
Because you're a cripple.                                                             --- Porque tu és estúpido.
Because you're stupid.                                                                --- Porque tu és mais fraco que eles.
Because you're weaker than them.                                                      --- Porque tu és mais fraco que eles.
If he's dead... If what you say is true, then it won't matter.                        --- Se ele está morto... se o que tu dizes é verdade, então não importa.
It was his idea to hit the taxi service, wasn't it?                                   --- Foi ideia dele atacar o serviço de táxis de Nova lorque, não foi?
-Come on, tell me the truth.                                                          --- Foi tudo ideia do Keaton!
-It was all Keaton.                                                                   --- Foi tudo ideia do Keaton!
We followed him from the beginning.                                                   --- Nós seguimo-lo desde o início.
I didn't know.                                                                        --- 
I saw him die.                                                                        --- Eu vi-o morrer.
I believe he's dead.                                                                  --- Acredito que ele está morto.
Christ.                                                                               --- 
You're not safe on your own.                                                          --- Tu não estás seguro sozinho.
You think he's...  Keyser Soze?                                                       --- Você acha que ele é... o Keyser Soze?
I don't know.                                                                         --- Não sei, Verbal.
Keyser Soze's a shield, or like you said, a spook story.                              --- Como tu disseste, uma história de assombrar.
But I know Keaton, and someone is out there pulling strings for you.                  --- E alguém está a mexer os pauzinhos por ti. Fica aqui e deixa-nos dar-te protecção.
-Stay here and let us protect you.                                                    --- Fica aqui e deixa-nos dar-te protecção.
-I'm not bait.                                                                        --- Eu saio hoje.
I post today.                                                                         --- Eu saio hoje.
You posted 20 minutes ago.                                                            --- Tu estás livre há 20 minutos.
Capt.                                                                                 --- - ...
Leo wants you out of here.                                                            --- - ... a não ser que te tornes testemunha.
-Unless you turn state's.                                                             --- - Eu vou arriscar, obrigado.
-I'll take my chances.                                                                --- 
If someone wants to get you, they're gonna get you out there.                         --- 
Turn state's evidence.                                                                --- Pode ser que nunca vejas um julgamento.
You might never see trial.                                                            --- Talvez.
Maybe so.                                                                             --- Talvez.
But I'm not a rat.                                                                    --- Mas eu não sou um bufo, Agente Kujan.
Fuckin' cops.                                                                         --- Merda de policias.
Excuse me, can I use your fax machine?                                                --- Posso usar o seu fax?
You'll have to sign for these, Mr. Kint.                                              --- 
One watch, gold.                                                                      --- Um isqueiro.
One cigarette lighter, gold.                                                          --- Um isqueiro.
One pack of cigarettes.                                                               --- E um maço de cigarros.
Thank you.                                                                            --- Obrigado.
We still got nothing.                                                                 --- Sei o que queria saber sobre o Keaton.
I know what I wanted to know about Keaton.                                            --- Sei o que queria saber sobre o Keaton.
Which is nothing.                                                                     --- Que é nada.
No matter.                                                                            --- Não importa.
He'll have to know how close we came.                                                 --- Ele terá de saber o quão perto nós estamos.
Keyser Soze or no Keyser Soze... if Keaton is alive, he's not comin' up again.        --- Com Keyser Soze ou sem Keyser Soze ...se o Keaton estiver vivo, não vai reaparecer outra vez.
I'll find him.                                                                        --- Perda de tempo.
Waste of time.                                                                        --- Perda de tempo.
A rumor's not a rumor that doesn't die.                                               --- Um boato não é um boato se não morrer.
What?                                                                                 --- Nada.
Nothing.                                                                              --- Nada.
Man, you're a slob.                                                                   --- 
But it all has a system.                                                              --- Sim, mas tudo tem o seu sistema, Dave.
It all makes sense if you look at it right.                                           --- Tudo faz sentido quando se vê da maneira certa.
You gotta stand back from it.                                                         --- Tens de ver as coisas de longe, percebes?
You wanna see a real horror show?                                                     --- Queres ver um espectáculo de terror a sério?
See my garage.                                                                        --- Tens de ver a minha garagem.
Convince me.                                                                          --- Conta-me todos os pormenores...
Tell me every last...                                                                 --- Tens de ver a minha garagem.
When I was in that barbershop quartet in Skokie, Illinois...                          --- Sabe, quando eu ia à barbearia quarteto em Skokie, Illinois...
-Where's your head?                                                                   --- O que temos de fazer é pensar.
-We need to think, think back.                                                        --- Pensar no passado. Tenho a certeza que você já ouviu muitas histórias...
I'm sure you've heard tall tales.                                                     --- - Bricks Marlin. - Isto não está bem.
-Bricks Marlin.                                                                       --- - Eu apenas quero ouvir a tua história.
-This isn't right.                                                                    --- - Eu apenas quero ouvir a tua história.
-I just wanna hear your story.                                                        --- E eu estou-lhe a contar tudo, juro!
-It's all there.                                                                      --- Conta-me todos os pormenores...
-I'm tellin' it straight.                                                             --- - Isto não está bem.
-Some guy in California called Redfoot.                                               --- - Um tipo na Califórnia.
-A gift from Mr. Soze.                                                                --- E eu estou-lhe a contar tudo, juro!
-Talk to me.                                                                          --- E o Redfoot?
-What about Redfoot?                                                                  --- O Sr. Redfoot não sabia de nada.
-Mr. Redfoot knew nothing.                                                            --- E o Redfoot?
-Using pawns...                                                                       --- - Um tipo enorme, gordo.
-A big fat guy.                                                                       --- Parecia uma orca.
Like, orca fat.                                                                       --- Parecia uma orca.
There was a lawyer...                                                                 --- Parecia uma orca.
Kobayashi...  When I was picking beans in Guatemala we made fresh coffee.             --- Quando eu apanhava café na Guatemala, costumávamos fazer café fresco... ele era um bom homem...
-I know you thought he was a good man.                                                --- Eu sei que ele era bom.
-I know he was good.                                                                  --- Eu sei que ele era bom.
-You tell me every last detail.                                                       --- Como atiras no demónio pelas costas?
-The strangest thing.                                                                 --- Como atiras no demónio pelas costas?
How do you shoot the Devil in the back?                                               --- Como atiras no demónio pelas costas?
This guy is protected from up on high by the Prince of...                             --- ...este tipo é protegido de cima... pelo príncipe da escuridão.
What's your story, pretzel man?                                                       --- Qual é a tua história? - Havia um advogado...
-There was a lawyer.                                                                  --- Sou o Sr. Kobayashi.
-What lawyer?                                                                         --- Sou o Sr. Kobayashi.
I am Mr. Kobayashi.                                                                   --- Sou o Sr. Kobayashi.
-Kobayashi.                                                                           --- 
Kobayashi.                                                                            --- 
-Tell me every last detail.                                                           --- Eu trabalho para o Keyser Soze.
-I work for Keyser Soze.                                                              --- Eu trabalho para o Keyser Soze.
-Convince me. Convince me.                                                            --- Convence-me.
Every creep and scumbag that works the street... will know the name of Verbal Kint.   --- Todos os vagabundos que vivem nas ruas vão saber o nome Verbal Kint.
The cripple, did you see him?                                                         --- Por onde foi ele?
-The cripple!                                                                         --- Ele foi por ali.
Which way did he go?                                                                  --- Ele foi por ali.
-He went out that way. I know you know something.                                     --- Eu sei que sabes alguma coisa.
I know you're not telling... I'm smarter than you... and I'm gonna find out whether you like it or not. --- Eu sou mais esperto do que tu, E eu vou descobrir ...o que eu quero saber quer tu queiras quer não. Para um policia a explicação nunca é complicada.
To a cop, the explanation is never complicated.                                       --- Para um policia a explicação nunca é complicada.
-It's always simple.                                                                  --- É sempre simples.
-The truth!                                                                           --- 
There's no arch-criminal behind it all.                                               --- Não há mistério nas ruas, não existem arqui-criminosos.
Somebody with power, somebody who is capable...                                       --- Alguém com poder...
Keyser Soze!                                                                          --- Keyser Soze!
You think a guy like that gets this close to getting caught... and sticks his head out? --- Achas que um tipo como ele se vai arriscar a ser apanhado e depois desaparecer?
Because you're stupid.                                                                --- Porque tu és aleijado!
Because you're a cripple.                                                             --- O que eu quero saber é quem é o aleijado.
