B                                                                                     --- " B".
Yup.                                                                                  --- É...
Im glad you finally get to appreciate some of the effort I put into all of this.      --- Fico feliz que finalmente deu valor a todo o esforço que coloquei nisto.
Well, you set out to make a point, Clyde.                                             --- Conseguiu provar a sua perspectiva, Clyde.
You made it.                                                                          --- - Conseguiu isso.
- No, people still don't get it.                                                      --- - As pessoas ainda não entendem.
They dont appreciate what I'm trying to say, Nick, but... they will. Soon enough.     --- Não apreciam o que estou a tentar dizer, Nick, mas, em breve, irão.
A man I cared about once told me that we can't retract the decisions that we've made, we can only affect the decisions we're going to make from here. --- Um homem importante para mim disse uma vez que não podemos desfazer as decisões que tomamos, só podemos afectar decisões ainda não tomadas.
What, are you trying to save me now, Nick?                                            --- Quer salvar-me agora, Nick?
I'm giving you a way out.                                                             --- Estou a tentar dar-te uma saída. É bem diferente.
Big difference. Stand up for those principles you've been preaching, we're all held accountable Clyde, that includes you. --- A partir dos princípios que você vem a pregar, somos todos responsáveis, inclusive você, Clyde.
Why don't we do the right thing here.                                                 --- Faça a coisa certa.
I'm doing the right thing, Nick.                                                      --- Estou a fazer a coisa certa, Nick.
You just have to see it that way.                                                     --- - Só precisa ver isso.
By murdering all those people, all you're doing is destroying the memory of your daughter. --- - Matando todas aquelas pessoas. Só está a destruir a memória da sua filha.
And causing the same pain that you're suffering from.                                 --- E a causar a mesma dor que sofreu.
So what do you suggest, Nick?                                                         --- Então o que sugere, Nick?
Make another deal?                                                                    --- Fazer outro acordo?
One final offer, is that what it is?                                                  --- Uma oferta final? É isso?
I don't make deals with murderers anymore, Clyde.                                     --- Não faço mais acordos com assassinos, Clyde.
You taught me that.                                                                   --- Você ensinou-me isso.
Finally.                                                                              --- - Finalmente...
- Finally.                                                                            --- - Finalmente.
Well done.                                                                            --- Muito bem. Bravo.
Bravo. Maybe I wasnt such a bad teacher after all.                                    --- Talvez eu não tenha sido um professor tão mau.
If you go through with this, Clyde, it's a decision you will have to live with for the rest of your life. --- Se for em frente, vai conviver com isso pelo resto da sua vida.
I'm sorry, Nick.                                                                      --- Sinto muito, Nick.
Me too.                                                                               --- Eu também.
Like I said, Clyde, it's a decision you will have to                                  --- Como eu disse, Clyde.
live with for the rest of your life.                                                  --- Vai conviver com isso o resto da vida.
Which I figure by now is about 25 more seconds.                                       --- Que deve durar mais uns 25 segundos.
