You got him!                                                                          --- Apanhaste-o!
You keep it going. You keep it up.                                                    --- Mantém a guarda e o ritmo.
Mo cuishle! Mo cuishle!                                                               --- Mo Cuishle!
Get the doctor!                                                                       --- Chamem o médico.
Come on.                                                                              --- Vamos.
Breathe.                                                                              --- Respira.
That's it.                                                                            --- É assim mesmo. Respira.
Good Just look at me.                                                                 --- Bom. Oh, Deus.
How you feeling darling?                                                              --- Como te está a sentir, querida?
Growing a beard, boss?                                                                --- Não fez a barba, chefe?
Yeah, I thought it might help me with the ladies.                                     --- Achei que me ajudaria com as mulheres.
Can't say it does.                                                                    --- Eu acho que não.
Does it...                                                                            --- Dói muito?
Don't hurt at all.                                                                    --- Não dói nada.
Well, that's good.                                                                    --- Isso é bom.
Where's Frankie?                                                                      --- Onde está o Frankie?
Well, he's, uh... He's out there talking to the doctors.                              --- Ele está... ele está ali a falar com os médicos.
Probably telling them how to do their job.                                            --- Provavelmente a dizer-lhes... como fazer o trabalho deles.
They're telling him I'm a C1 and C2 complete.                                         --- Estão-lhe a dizer que sou uma completa C1 E C2.
Means that my spinal cord's so broke, they'll never be able to fix it.                --- Isso significa que a minha espinal medula está tão partida... que nunca poderei respirar.
Gonna be frozen like this the rest of my life.                                        --- Vou ficar paralítica o resto da vida.
I asked them to tell him. I don't know how he's going to take it.                     --- Eu pedi para lhe dizerem... que não sei quanto tempo vou ficar assim.
Did you see the fight?                                                                --- Viste o combate?
Course I did.                                                                         --- Claro que vi.
You had her cold, Maggie.                                                             --- Já tinhas praticamente ganho, Maggie.
Well, I shouldn't have dropped my hands.                                              --- Eu não devia ter baixado as mãos.
I shouldn't have turned.                                                              --- Eu não devia ter virado as costas.
Always protect myself.                                                                --- Protege-te sempre.
How many times he tell me that?                                                       --- Eu ouvi isso mais de mil vezes.
Yeah, he... does like to repeat himself.                                              --- Sim, ele... Ele gosta de repetir mesmo.
Will you tell him I'm real sorry?                                                     --- Diz-lhe que peço desculpa.
No.                                                                                   --- Não!
I won't do no such thing, Maggie.                                                     --- Não vou fazer nada disso, Maggie.
Damnedest thing.                                                                      --- Que coisa!
So, what's the plan?                                                                  --- Então, qual é o plano?
I know you got one, so you might as well tell me what it is.                          --- Eu sei que tens um, então é melhor contares-me.
It's your fault.                                                                      --- A culpa é tua!
Yeah, it's your fault she's lying in there like that.                                 --- Sim, a culpa é tua que ela esteja ali deitada.
You kept after me until I trained her.                                                --- Ficaste insistindo até eu treiná-la.
I knew I shouldn't have done it, her being a girl and all.                            --- Eu sabia que não devia ter feito isso, ela é uma rapariga.
Everything kept telling me not to. Everything but you.                                --- Todos diziam para não fazer todos, menos tu!
I'm gonna get you out of here.                                                        --- Vou tirar-te daqui.
These doctors around here don't know squat.                                           --- Os médicos daqui não sabem nada.
Otherwise, why would they be living out here in the desert?                           --- É por isso que vivem aqui no deserto.
As soon as you're able to be moved, we'll find someplace where they've actually studied medicine. --- Assim que te puderem mover. Vou encontrar um lugar... onde realmente tenham estudado medicina.
You just rest there, I'll...                                                          --- Fica descansada.
I'm on it.                                                                            --- Eu cuido de tudo.
Frankie must've called every hospital in America, looking for somebody who'd tell him they could fix her. --- O Frankie deve ter telefonado para todos os hospitais dos EUA... atrás de alguém que pudesse curá-la.
He came close twice, till they checked her over, said there was nothing to be done.   --- Por duas vezes ele esteve perto, até que a viram, e disseram que não havia nada a ser feito.
Took two months till she was stable enough to move.                                   --- Passaram dois meses... até ela ficar estável o suficiente para ser transferida.
They got nurses for that you know.                                                    --- Há enfermeiras para fazer isso, sabia?
Yeah, but they're amateurs.                                                           --- Sim, mas elas são amadoras.
She developed skin ulcers because she couldn't change positions.                      --- Ela desenvolveu ulcerações na pele... porque não podia mudar de posição.
Thank you.                                                                            --- Obrigada.
They made the six-hour trip by ambulance.                                             --- Fizemos a viagem de 6 horas em ambulância.
Fly there, drive back.                                                                --- Ir de avião, voltar de carro.
The rehab centre was a nice place.                                                    --- O centro de reabilitação... que o Frank encontrou era um bom lugar.
They took good care of Maggie.                                                        --- Eles tomaram conta dela muito bem.
She wouldn't have complained if they hadn't                                           --- Ela não se teria queixado, se não tivessem.
Took several hours every day to get her ready for the wheelchair.                     --- Levavam várias horas todos os dias... a prepará-la para a cadeira de rodas.
One, two, three.                                                                      --- 1, 2, 3.
Since she couldn't breathe on her own, her respirators were always on.                --- Já que não podia respirar sozinha, o ventilador estava sempre ligado.
Oxygen was pumped into her 24 hours a day.                                            --- O oxigénio era bombeado 24 horas por dia.
Maggie's mama called to say they were all coming for a visit.                         --- A mãe da Maggie telefonou a dizer que estavam a chegar para a ver.
She waited by the window every day for the next two weeks.                            --- Ela esperou perto da janela todos os dias... durante duas semanas
You sure?                                                                             --- Claro.
Frankie finally tracked them down, learned they'd checked into their hotel six days earlier. --- O Frank finalmente descobriu-os, ficou a saber que tinham chegado ao hotel há 6 dias.
Kept leaving messages which were never returned.                                      --- E deixou recados, que nunca tiveram resposta.
You don't have to hang around all day.                                                --- Não tem que ficar aqui o dia inteiro.
I like it here.                                                                       --- Eu gosto disto.
I don't mind.                                                                         --- Eu não me importo.
In fact, if you weren't here, I'd come here anyway, to read my books.                 --- De facto, se não estivesses aqui, eu viria na mesma para ler os meus livros.
Mama'll be here soon, share some of the burden.                                       --- A minha mãe em breve estará aqui e assumirá um pouco do fardo.
Well, it's no burden.                                                                 --- Não é fardo nenhum. Aqui...
Read this.                                                                            --- lê isto.
OK, OK, that's enough.                                                                --- Ok. Ok. Chega.
That's terrible.                                                                      --- Terrível.
Anyway, I'll tell you in English what you were saying.                                --- De qualquer forma, vou traduzir o que disseste.
It says," I will arise and go now, and go to Innisfree, and a small cabin built there, of clay and wattles made. --- Aqui diz... Vou me levantar e ir agora, para Innisfree... para uma cabana construída, de argila e acácias.
And I shall have some peace there, for peace comes dropping slow, dropping from the veils of the morning to where the cricket sings." --- E lá terei um pouco de paz, pois a paz chega aos poucos, a gotejar por entre os véus da manhã, para onde o grilo canta.
Not bad, huh?                                                                         --- Não é mau, pois não?
You gonna build a cabin, boss?                                                        --- Vai construir uma cabana, chefe? - Eu?
Me?                                                                                   --- - Sim.
You know, when you quit all this.                                                     --- Sabes, quando largar isto tudo.
You mean boxing?                                                                      --- Quer dizer o boxe? Não.
I'll never quit.                                                                      --- Nunca vou deixar.
I like the stink too much, I guess.                                                   --- Gosto demais do cheiro, acho eu.
You think?                                                                            --- Tem a certeza?
Cos I could see you there real easy, with your books and lemon pie.                   --- Porque consigo vê-lo lá... muito facilmente, com os seus livros e a torta de limão.
How´bout you?                                                                         --- E tu?
Would you like to go live in a cabin?                                                 --- Gostavas de morar numa cabana?
I could learn how to bake.                                                            --- Eu podia aprender a assar.
Eh, well, then, I'll... maybe I'll start looking, then.                               --- Quem sabe? Talvez eu deva começar a procurar então.
Yeah.                                                                                 --- Sim.
Hi. I'm Frankie Dunn. I met you back out in Missouri.                                 --- Eu sou o Frankie Dunn, conheci-a no Missouri.
Where's my little girl?                                                               --- Onde está a minha filhinha?
Don't you think you ought to go back to the hotel and change?                         --- Não acham que deviam voltar ao hotel para trocar de roupa?
She doesn't know you've been here a week visiting Woody and Mickey.                   --- Ela não sabe que estão aqui há uma semana... a visitar o Mickey e o Pica-pau.
We got business with my sister. Why don't you just tell us where she is?              --- Temos negócios com a minha irmã, porque não nos diz onde é que ela está?
You must be JD and you must be the business guy.                                      --- Você deve ser o JD e você o homem de negócios.
Look, there's some rides you missed.                                                  --- Vocês devem ter deixado de andar nalgum brinquedo.
You just go on back, I'll tell her you couldn't make it.                              --- Por que não voltam... e eu digo que vocês não conseguiram vir?
I drove all the way here to take care of my child, and you're suggesting I'm not a good mother? --- Eu vim até aqui só para cuidar da minha filha, e está a sugerir que não sou uma boa mãe?
Mary M can't go nowhere.                                                              --- A Mary Ann não pode ir a lugar nenhum.
If we could've taken her to Disneyland, we would've.                                  --- Se pudéssemos levá-la à Disneyland, tínhamos levado.
Margaret Fitzgerald?                                                                  --- Margaret Fitzgerald?
Right down here.                                                                      --- Pelo corredor, 301.
- Come on, Mama.                                                                      --- Vamos!
I saw myself breathing. Like my body was going up and down.                           --- Eu vi-me a respirar o meu corpo a subir e a descer.
I thought" Well why didn't somebody tell me?".                                        --- E pensei... Porque foi que ninguém me disse.
Your hair needs washing, it's kind of greasy.                                         --- O teu cabelo precisa de ser lavado, está todo gordurento.
It's uh... just a...                                                                  --- É só...
Just some kind of legal thing.                                                        --- São só formalidades legais.
What is it?                                                                           --- O que é?
How we all doing here?                                                                --- Como estamos a ir por aqui?
Sorry, darlin', but we ain't got a lot of time.                                       --- Lamento, querida, mas não temos muito tempo. O Sr.
Johnsons charging us a lot of money to be here to make sure this is done proper.     --- Johnson está-nos a cobrar muito dinheiro... para estarmos aqui só para isto ser feito como deve ser.
Why don't you just leave that? I'll read it to her later.                             --- Porque não deixa isso aí que eu leio-lhe mais tarde.
Hey, old man, you part of our family?                                                 --- Ei, velhote... Você faz parte da família? Não se meta.
Read it to me, Mama.                                                                  --- Leia, mãe.
Well, it's just something legal, to protect your money.                               --- É só legalidades, para proteger o teu dinheiro.
Mama, you don't have to worry.                                                        --- Mãe, não precisa de se preocupar.
The Boxing Commission's paying for all this.                                          --- A comissão de boxe está a pagar isto tudo.
Everything.                                                                           --- Por tudo.
But what if they don't, Mary M?                                                       --- E se não pagarem, Mary Ann? O Sr.
Johnson says they can take my house.                                                  --- Johnson disse que me podem tirar a casa.
If you assign your assets to your mother, no one can touch them.                      --- Se transferires os bens para a tua mãe, ninguém lhes poderá tocar.
No doctors, no funeral expenses. Nothing.                                             --- Nem médicos nem despesas de funeral, nada.
Look, why don't you just leave it, and then I'll just read it to her...               --- Olhe. Porque é que não deixam isso aí que eu leio-lhe mais tarde.
Mr.                                                                                   --- Sr.
Dunn, with respect, this ain't your business.                                         --- Dunn, com todo o respeito, não se meta nisto.
All right.                                                                            --- Ok.
I'll be out in the hall.                                                              --- Estarei lá fora no corredor.
You been a good daughter, Mary M.                                                     --- Tens sido uma boa filha, Mary Ann.
You sign that paper, it'll... take care of your family, the... the way your daddy would've wanted you to. --- Assina o papel... e cuida da tua família... da maneira que o teu pai ia querer que fizesses.
How do you make your mark?                                                            --- Como é que vais fazer a tua assinatura?
Can you hold a pen?                                                                   --- Consegues segurar a caneta?
She got to do it with her teeth, Mama. - Huh? - You got to put it in her mouth.       --- Ela tem que assinar com os dentes, mãe, tem que lhe colocar a caneta na boca.
Here you go, honey.                                                                   --- Aqui está, querida.
Did you see the fight, Mama?                                                          --- Viste o combate, mãe?
Honey, you know how I feel about that.                                                --- Sabes o que eu acho a respeito disso.
I did pretty good.                                                                    --- Eu estive muito bem.
You lost, Mary M.                                                                     --- Perdeste, Mary Ann.
Ain't your fault, the way I heard it, but you lost.                                   --- Pelo que ouvi, não foi culpa tua, mas... Perdeste
Don't want to lose the rest of what you got left.                                     --- Agora não percas o resto que te sobrou.
There you go.                                                                         --- Bom.
What happened to you?                                                                 --- O que foi que te aconteceu?
Well, what's that supposed to mean?                                                   --- Que queres dizer?
Mama, you take Mardell and JD and get home.                                           --- Mãe, apanhe o Bardell e o JD e vá para casa.
' Fore I tell that lawyer there that you were so worried about your welfare, you never signed those house papers like you were supposed to. --- Antes que eu conte àquele advogado... que estava tão preocupada com a sua pensão de sobrevivência... que nunca assinou a papelada da casa como devia.
So anytime I feel like it, I can sell that house from under your fat, lazy, hillbilly asses. --- Então, quando eu quiser, posso vender a casa... e tirá-la de vocês, seus sacanas gordos e preguiçosos.
And if you ever come back, that's exactly what I'll do.                               --- E se um dia voltarem aqui, vou fazer exactamente isso.
Well, maybe... someone ought to count to ten.                                         --- Bem, talvez... Alguém devia contar até 10.
Don't smell real pretty, does it, Doc?                                                --- Não está a cheirar muito bem, não é doutor?
We might have to lose it, Maggie.                                                     --- Acho que vamos ter que a amputar, Maggie.
They took my leg, boss.                                                               --- Amputaram a minha perna, chefe.
It's gonna be all right, you hear?                                                    --- Vai correr tudo bem, ok?
I always hear your voice, boss.                                                       --- Eu oiço sempre a sua voz, chefe.
You need anything?                                                                    --- Precisas de alguma coisa?
Need to know what" Mo cuishle" means.                                                 --- Saber o que Mo Cuishle significa.
Well, you didn't win. I don't have to tell you.                                       --- Não ganhaste... eu não tenho que contar.
You're the meanest man I ever met.                                                    --- É o homem mais rabugento que já conheci.
No wonder no-one loves you.                                                           --- Não é de admirar que ninguém o ame.
You remind me of my daddy.                                                            --- Lembra-me o meu pai.
Well, he must've been a... very intelligent, handsome man.                            --- Ele deve ter sido um... homem muito inteligente e bonito.
You ain't gonna make me talk no more Yeats, are you?                                  --- Não me vai fazer falar mais sobre Yeats, vai?
No, I was... looking at this catalogue from City College.                             --- Não. Eu estava... a olhar este catálogo de universidades.
I thought I'd get you a wheelchair, maybe the... the kind that operates by blowing through a straw. I thought maybe you'd like to go back to school. --- Se eu arranjar uma cadeira de rodas, talvez daquele... tipo que funciona assoprando um tubo,.. pensei que talvez gostasses de voltar a estudar.
I got a favor to ask you, boss.                                                       --- Tenho que lhe pedir um favor, chefe.
Sure.                                                                                 --- Claro.
Anything you want.                                                                    --- Qualquer coisa que quiseres.
Remember what my daddy did for Axel?                                                  --- Lembra-se o que o meu pai fez pelo Axel?
Don't even think about that.                                                          --- Nem penses nisso.
I can't be like this, Frankie.                                                        --- Não posso ficar assim, Frankie.
Not after what I done.                                                                --- Não depois do que fiz, eu vi o mundo.
People chanted my name.                                                               --- As pessoas a gritar o meu nome.
Well... not my name, some damn name you gave me.                                      --- Bem... não o meu nome, mas aquela porcaria de nome que você me deu.
But they were chanting for me.                                                        --- Eles torciam por mim.
I was in magazines.                                                                   --- Eu saí em revistas.
You think I ever dreamed that'd happen?                                               --- Acha que eu já tinha sonhado que isto ia acontecer?
I was born two pounds, one-and-a- half ounces.                                        --- Eu nasci com um quilo e 300 gramas.
Daddy used to tell me I fought to get into this world... and I'd fight my way out.    --- O meu pai dizia que eu lutei para entrar neste mundo. E vou lutar para sair dele.
That's all I want to do, Frankie.                                                     --- É só isso que quero fazer, Frankie.
I just don't wanna fight you to do it.                                                --- Eu só não quero lutar contra si para fazer isto.
I got what I needed.                                                                  --- Eu já tive tudo o que quis.
I got it all.                                                                         --- Eu tive tudo.
Don't let´em keep taking it away from me.                                             --- Não deixe que me roubem tudo.
Don't let me lie here till I can't hear those people chanting no more.                --- Não me deixe ficar aqui deitada... até parar de ouvir os gritos da claque.
I can't.                                                                              --- Não posso.
Please.                                                                               --- Por favor.
Please don't ask me.                                                                  --- Por favor, não me peças isso.
I'm askin'.                                                                           --- Eu estou a pedir.
I can't.                                                                              --- Não posso.
Hello?                                                                                --- Estou?
In the middle of the night Maggie'd found her own solution.                           --- No meio da noite... A Maggie tinha encontrado a sua própria solução.
She'd bit her tongue.                                                                 --- Ela tinha mordido a língua.
Stop.                                                                                 --- Pára!
Look at me.                                                                           --- Olha para mim!
Nearly bled to death before they stitched her up.                                     --- Ela quase sangrou até morrer antes que a cosessem.
She came round and ripped´em out before Frankie even got there.                       --- Ela voltou a si e rasgou tudo outra vez... antes do Frank chegar lá.
They stitched her up again, padded the tongue so she couldn't bite.                   --- Eles coseram-na de novo, E protegeram-lhe a língua para ela não voltar a morder.
You can't do it. You know that.                                                       --- Não podes fazer isso e sabes muito bem.
I do, Father.                                                                         --- Eu sei, padre.
But you don't know how thick she is, how hard it was to train her.                    --- Mas você não sabe como ela é teimosa. Como foi difícil treiná-la.
Other fighters'd do exactly what you say to´em and... and she'd ask why this and why that and then do it her own way, anyway. --- Outros lutadores fazem exactamente o que você manda... Ela perguntava porquê isto, porquê aquilo... e fazia à maneira dela de qualquer maneira.
How she fought for the title, I... It wasn't by anything... Well, it wasn't by listening to me. --- Ela lutou pelo título... não foi por nada... não foi por me ouvir.
But now she wants to die, and I just want to keep her with me.                        --- Mas agora ela quer morrer. E eu só quero mantê-la comigo.
Oh.                                                                                   --- E juro por Deus, padre.
And I swear to God, Father, it's... it's committing a sin by doing it.                --- É... um pecado mantê-la assim.
By keeping her alive, I'm killing her.                                                --- Ao deixá-la viver eu estou a matá-la.
Know what I mean?                                                                     --- Sabe o que quero dizer?
How do I get around that?                                                             --- Como é que saio desta?
You don't.                                                                            --- Não tem saída.
You step aside, Frankie.                                                              --- Não intervenhas, Frankie.
You leave her with God.                                                               --- Deixa isso com Deus.
She's not asking for God's help; she's asking for mine.                               --- Ela não está a pedir ajuda a Deus e sim a mim.
Frankie, I've seen you at Mass almost every day for 23 years.                         --- Frankie, eu vejo-te na missa quase todos os dias há 23 anos.
The only person comes to church that much is the kind who can't forgive himself for something. --- O único tipo de pessoa que vem tanto à igreja... é aquela que não se perdoa por algo.
Whatever sins you're carrying, they're nothing compared to this.                      --- Qualquer que sejam os teus pecados, eles não são nada comparado com este.
Forget about God... or Heaven and Hell.                                               --- Esquece Deus ou Céu e Inferno.
If you do this thing, you'll be lost... somewhere so deep... you'll never find yourself again. --- Se fizeres isso, estarás perdido. Nalgum lugar tão profundo... que nunca mais te vais encontrar.
We're keeping her sedated so she won't try that again.                                --- Estou a mantê-la sob sedativos... para ela não tentar aquilo de novo.
I went to see Maggie this morning.                                                    --- Fui ver a Maggie esta manhã.
You must've been somewhere else.                                                      --- Devias estar noutro lugar.
Yeah.                                                                                 --- Sim.
You got a fight I don't know about?                                                   --- Tiveste um luta que eu não estou a saber?
It wasn't your fault.                                                                 --- A culpa não foi tua.
I was wrong to say that.                                                              --- Foi um erro meu dizer aquilo.
You're damn right.                                                                    --- Tens toda a razão.
I found you a fighter, and you made her the best fighter she could be.                --- Eu encontrei-te uma lutadora... e tu tornaste-a a melhor lutadora que podia ser.
I killed her.                                                                         --- Eu matei-a.
Don't say that.                                                                       --- Não digas isso.
Maggie walked through that door with nothing but guts.                                --- A Maggie entrou por aquela porta com nada a não ser coragem.
No chance in the world of being what she needed to be.                                --- Não tinha hipótese alguma de ser o que queria ser.
A year and a half later, she's fighting for the championship of the world.            --- Um ano e meio depois, ela estava a lutar pelo título mundial.
You did that.                                                                         --- Por tua causa.
People die every day Frankie, mopping floors washing dishes.                          --- Morre gente todos os dias, Frankie. A esfregar o chão, a lavar louça,
And you know what their last thought is?                                              --- E sabes qual é o último pensamento deles?
" I never got my shot."                                                               --- Nunca tive hipótese.
Because of you, Maggie got her shot.                                                  --- Por tua causa, a Maggie teve a sua chance.
If she dies today, you know what her last thought will be?                            --- Se ela morrer hoje, sabes qual é que vai ser o seu último pensamento?
" I think I did all right."                                                           --- Acho que me saí muito bem.
I know I could rest with that.                                                        --- Eu sei que eu ficaria em paz com isso.
Yeah.                                                                                 --- Sim.
Yeah.                                                                                 --- Sim.
I'm gonna get a cup of coffee.                                                        --- - Vou buscar um café.
Yeah.                                                                                 --- - Ok.
All right.                                                                            --- Ok.
I'm gonna disconnect your air machine, then you're gonna go to sleep.                 --- Vou desligar a tua máquina. E vais dormir.
Then I'll give you a shot, and you'll... stay asleep.                                 --- Então, vou te dar uma injecção e tu... vais continuar a dormir.
" Mo cuishle"... means" my darling, my blood."                                        --- Mo Cuishle... significa, minha querida, meu sangue.
He gave her a single shot.                                                            --- Ele deu-lhe uma dose única.
It was enough adrenaline to do the job a few times over.                              --- Adrenalina suficiente para fazer o serviço várias vezes.
He didn't want her going through this again.                                          --- Ele não queria que ela passasse por isto de novo.
Then he walked out.                                                                   --- Então, ele foi embora.
I don't think he had anything left.                                                   --- Eu acho que não lhe restou mais nada.
I went back to the gym and waited, figuring he'd turn up sooner or later.             --- Eu voltei ao ginásio. Fiquei à espera. Calculei que ele ia aparecer, mais cedo ou mais tarde.
And that's when a ghost came through the door.                                        --- E foi aí que um fantasma entrou pela porta.
I got to thinking what you said, Mr.                                                  --- Eu fiquei a pensar no que me disse, Sr. Scraps?
What was that, Danger?                                                                --- O que foi que eu te disse," Perigo"?
Anybody can lose one fight.                                                           --- Qualquer um pode perder um combate.
That's the truth.                                                                     --- É verdade.
Go on, put the gloves on. You missed a lot of training.                               --- Vai pôr as luvas, já perdeste muito treino.
Will do, Mr.                                                                          --- Ok, Sr.
Scrap.                                                                                --- Scraps.
Frankie never came back at all.                                                       --- O Frankie nunca mais voltou.
Frankie didn't leave a note and nobody knew where he went.                            --- O Frankie não deixou nenhum recado, e ninguém sabe para onde foi.
I'd hoped he'd gone to find you and ask you one more time to forgive him, but maybe he didn't have anything left in his heart. --- Espero que ele tenha ido atrás de ti. Para te pedir mais uma vez para o perdoares. Mas, talvez não tenha sobrado mais nada no seu coração.
I just hope he found someplace where he could find a little peace.                    --- Só espero que ele tenha encontrado um lugar para ter paz.
A place set in the cedars and oak trees.                                              --- Um lugar entre cedros e carvalhos.
Somewhere between nowhere and goodbye.                                                --- Nalgum lugar entre Lugar Nenhum e Adeus.
But that's probably wishful thinking.                                                 --- Mas talvez seja... só um pensamento desejoso da minha parte.
No matter where he is I thought you should know what kind of man your father really was. --- Não importa onde ele esteja. Só achei que devias saber... o tipo de homem que o teu pai realmente era.
