He is coming.                                                                         --- Ele vem aí.
Micro-managers, commence micro-management.                                            --- Micro-gestores, iniciem a micro-gestão.
Commencing micro-management.                                                          --- A iniciar a micro-gestão.
What's going on?                                                                      --- Não me consigo mexer!
I can't move!                                                                         --- Não me consigo mexer!
Please, please!                                                                       --- Por favor, por favor!
Won't somebody help us?                                                               --- Alguém nos pode ajudar?
Emmet, you'll think of something, right?                                              --- Emmet, tu vais pensar em algo, certo?
Like you always do.                                                                   --- Como sempre fazes.
Didn't you hear him?                                                                  --- Não o ouviram?
The prophecy's made-up.                                                               --- A profecia é inventada.
I'm not The Special.                                                                  --- Eu não sou o Escolhido.
And to think for a moment I thought I might be.                                       --- Por um instante, ainda achei que pudesse ser.
- Emmet.                                                                              --- -Emmet.
- Who said that?                                                                      --- -Quem é que falou?
I did.                                                                                --- Eu.
I am Ghost Vitruvius.                                                                 --- Sou o Fantasma do Vitruvius.
Woo!                                                                                  --- Emmet, não me deixaste acabar de falar.
Emmet, you didn't let me finish earlier.                                              --- Emmet, não me deixaste acabar de falar.
Because I died.                                                                       --- Porque eu morri.
The reason I made up the prophecy... was because I knew that whoever found the Piece... could become The Special. --- Eu inventei a profecia porque sabia que quem encontrasse a Peça podia tornar-se no Escolhido.
Because the only thing anyone needs to be special... is to believe that you can be.   --- Porque aquilo que precisamos para sermos especiais
I know that sounds like a cat poster, but it's true.                                  --- Eu sei que parece um daqueles cartazes com gatos, mas é verdade.
Look at what you did when you believed you were special.                              --- Olha o que fizeste quando acreditaste que eras especial.
You just need to believe it some more.                                                --- Só precisas de acreditar mais um pouco.
But how can I just decide to believe that I'm special... when I'm not?                --- Mas como posso acreditar que sou especial, quando não sou?
Because the world depends on it.                                                      --- Porque o mundo depende disso.
Woo!                                                                                  --- Eliminação por choque em 35 Mississippi...
Zapping termination in 35 Mississippi...                                              --- Eliminação por choque em 35 Mississippi...
What? 34 Mississippi...                                                               --- ...34 Mississippi,
33 Mississippi...                                                                     --- 33 Mississippi,
32 Mississippi...                                                                     --- 32 Mississippi,
31 Mississippi...                                                                     --- 31 Mississippi,
30 Mississippi...  29 Mississippi...                                                  --- 29 Mississippi,
28 Mississippi, 27 Mississippi...                                                     --- 28 Mississippi,
26 Mississippi...                                                                     --- 25 Mississippi,
25 Mississippi...                                                                     --- 25 Mississippi,
24 Mississippi...                                                                     --- 24 Mississippi...
Emmet!                                                                                --- Emmet!
What are you...? 18 Mississippi...                                                    --- O que estás... ...18 Mississippi,
- ...17 Mississippi...                                                                --- 17 Mississippi,
- Oh! - ...16 Mississippi...                                                          --- -16 Mississippi...
- Lucy!                                                                               --- -Lucy!
- ...15 Mississippi...                                                                --- -...15 Mississippi...
- Wait!                                                                               --- O que vais...
What are you...? Now it's your turn to be the hero.                                   --- Agora cabe-te a ti ser a heroína.
- 13 Mississippi...                                                                   --- -...13 Mississippi...
- No!                                                                                 --- -Não!
12 Mississippi...                                                                     --- ...12 Mississippi...
See you later, alligator.                                                             --- Hasta la vista, artista.
Don't!                                                                                --- Não!
No, Emmet!                                                                            --- Não, Emmet!
- Aah! - 7 Mississippi...                                                             --- ...7 Mississippi,
6 Mississippi...                                                                      --- 6 Mississippi,
5 Mississippi...                                                                      --- 5 Mississippi,
4 Mississippi...                                                                      --- 4 Mississippi,
3 Mississippi...                                                                      --- 3 Mississippi,
2 Mississippi...                                                                      --- 2 Mississippi,
1 Mississippi...                                                                      --- 1 Mississippi,
0 Missi...                                                                            --- 0 Missi...
Error.                                                                                --- Erro.
Termination failure.                                                                  --- Falha na eliminação.
Emmet!                                                                                --- Emmet!
No.                                                                                   --- Não!
He...                                                                                 --- Ele...
He saved us.                                                                          --- Ele salvou-nos.
Well, what do we do now?                                                              --- Bem, o que fazemos agora?
There's gotta be a bright side... here somewhere.                                     --- Tem de haver um lado positivo algures.
Does anyone have any ideas?                                                           --- Alguém tem uma ideia?
Emmet had ideas.                                                                      --- O Emmet tinha ideias.
Arr, if only there were more people in the world like he.                             --- Se houvesse mais pessoas no mundo como ele.
Maybe there are.                                                                      --- Talvez haja.
Meet me downstairs in 10 seconds.                                                     --- Venham ter comigo lá abaixo daqui a 10 segundos.
Honey, where are my... pant“?                                                         --- Querida, onde estão as minhas cal...
- Hi!                                                                                 --- 
- Hey, guess what.                                                                    --- -Adivinha lá?
Found your pants.                                                                     --- Achei as tuas calças.
Series is over.                                                                       --- Acabou-se a série.
Benny... send this out to everyone in the universe.                                   --- Benny, transmite isto para todo o universo.
1980-something technology?                                                            --- Tecnologia dos anos 80?
Now you're talking!                                                                   --- Assim é que é!
Uh...                                                                                 --- 
Ahem.                                                                                 --- 
Hey, everybody.                                                                       --- Olá a todos!
You don't know me, but I'm on TV, so you can trust me.                                --- Não me conhecem, mas estou na TV, por isso, podem confiar em mim.
I know things seem kind of bad right now.                                             --- Eu sei que agora a situação parece complicada.
But there is a way out of this.                                                       --- Mas existe uma saída para ela.
This is Emmet.                                                                        --- Este é o Emmet.
And he was just like all of you.                                                      --- E ele era igual a vocês.
A face in the crowd... following the same instructions as you.                        --- Alguém no meio da multidão, que seguia as mesmas instruções que vocês.
He was so good at fitting in, no one ever saw him.                                    --- Ele era tão bom a integrar-se que não repararam nele.
And I owe you an apology... because I used to look down on people like that.          --- E tenho de pedir-vos desculpas, porque costumava desprezar pessoas assim.
"I used to think they were followers... with no ideas or vision."                     --- "Eu pensava que eles eram apenas seguidores, sem ideias ou imaginação."
Because it turns out Emmet had great ideas.                                           --- Porque afinal o Emmet teve óptimas ideias.
And even though they seemed weird... and kind of pointless... they actually came closer... than anyone else to saving the universe. --- Apesar de parecerem estranhas e algo inúteis, estiveram mais próximo que as de qualquer outro de salvar o universo.
And now we have to finish what he started... by making whatever weird thing pops into our heads. --- Agora, temos de terminar o que ele começou, ao construir a coisa mais estranha que nos venha à cabeça.
All of you have the ability inside of you to be a groundbreaker.                      --- Dentro de todos vocês existe a capacidade de inovar!
And I mean literally!                                                                 --- E eu estou a falar a sério!
Break the ground!                                                                     --- Desmontem o solo!
Peel up the pieces... tear apart your walls!                                          --- Tirem as peças, destruam as vossas paredes!
Build things only you could build.                                                    --- Construam coisas só vossas!
Defend yourselves.                                                                    --- Defendam-se.
We need to fight back against President Business'... plans to freeze us!              --- Temos de contrariar o plano do Presidente de Negócios de congelar-nos!
Today will not be known as Taco Tuesday. It will be known as Freedom Friday!          --- O dia de hoje não será chamado Terça dos Tacos, mas a Sexta da Liberdade!
But still on a Tuesday!                                                               --- Mesmo assim, a uma terça-feira!
End of the line.                                                                      --- Terminou a emissão.
Bad Cop?                                                                              --- Polícia Mau?
I hope there's still a Good Cop in me somewhere.                                      --- Espero que, dentro de mim, ainda haja um Polícia Bom.
I'll hold these guys off.                                                             --- Eu vou empatar estes tipos.
You go stop them.                                                                     --- Vocês vão impedi-los.
Yay! Great idea, but how will we get there?                                           --- Óptima ideia, mas como fazemos para lá chegar?
T-minus one.                                                                          --- Falta um minuto.
Ten, nine, eight...                                                                   --- Dez, nove, oito,
- ...seven, six...                                                                    --- -sete, seis...
- I could, uh...                                                                      --- -Eu posso...
- ...five, four...                                                                    --- -...cinco, quatro...
- I could build a... three, two, one.                                                 --- -Podia construir uma...
I could build a spaceship!                                                            --- -Podia construir uma nave espacial!
You're not gonna say no?                                                              --- Não vais dizer que não posso?
Build away, whatever your name is.                                                    --- Constrói o que quiseres, não-sei-quantos.
- Whoa!                                                                               --- 
Yay!                                                                                  --- 
- Ha-ha-ha!                                                                           --- Está bem.
Okay.                                                                                 --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
Spaceship!                                                                            --- Nave espacial!
All units, attack that spaceship.                                                     --- A todas as unidades, ataquem aquela nave espacial!
Spaceship!                                                                            --- Nave espacial!
Where'd he go?                                                                        --- -Aonde é que ele foi?
Spaceship!                                                                            --- -Nave espacial!
Wyldstyle, look... it's the citizens!                                                 --- SuperCool, olha, são as pessoas!
Tallyho!                                                                              --- Alvo à vista!
Yee-haw!                                                                              --- 
And don't forget us MasterBuilders.                                                   --- Não se esqueçam de nós, os Mestres Construtores.
What is going on?                                                                     --- O que se passa?
You stop... building that stuff!                                                      --- Parem de construir essas coisas!
Just stop it!                                                                         --- Parem de uma vez!
Great job!                                                                            --- -Bom trabalho!
This might actually work.                                                             --- -Isto pode funcionar.
'Twas your speech which roused this hearty crew.                                      --- Foi o teu discurso que motivou este corajoso grupo.
If only Emmet were here to see this.                                                  --- Se o Emmet estivesse aqui para ver isto.
He'd say something adorable like...                                                   --- Ele diria algo querido do tipo...
Am I just gonna keep... falling... forever?                                           --- Será que vou continuar a cair... ...para sempre?
Is this another vision?                                                               --- Isto é outra visão?
Where am I?                                                                           --- Onde é que eu estou?
Is that the Office Tower?                                                             --- Aquela é a Torre de Escritórios?
Bricksburg!                                                                           --- A Aldeia do Tijolo!
What was that?                                                                        --- O que foi aquilo?
No, no, no.                                                                           --- Não, não, não.
No!                                                                                   --- Não!
Spaceship, spaceship, spaceship!                                                      --- Nave espacial, nave espacial, nave espacial!
- Pew! - What in the world is that?                                                   --- O que diabo é aquilo?
It's adorable.                                                                        --- É querido.
Uh-oh.                                                                                --- 
No.                                                                                   --- Não.
No. Whoa, no, no, no.                                                                 --- Então, não, não.
Hey, don't eat me.                                                                    --- Não me comas.
Don't eat me.                                                                         --- Não me comas.
Do not eat me.                                                                        --- Não me comas.
Please.                                                                               --- Por favor.
Hi, Emmet.                                                                            --- Olá, Emmet.
Uh...                                                                                 --- Olá?
Hi?                                                                                   --- Olá?
Is this The Man...?                                                                   --- Este é o Homem...
The Man Upstairs?                                                                     --- O Homem Lá de Cima?
What happened?                                                                        --- O que é que aconteceu?
No, no, no, this is a disaster.                                                       --- Não, não, não, isto é um desastre.
Why...?                                                                               --- Porquê?
Why...?                                                                               --- O quê?
What?                                                                                 --- O quê?
What?                                                                                 --- O quê?
What?                                                                                 --- O quê?
Why is the dragon on top of the luxury condo development?                             --- O que está a fazer o dragão em cima dos apartamentos de luxo?
But I was just playing... I know it's hard to understand... but this is Dad's stuff, okay? --- Mas eu só estava a brincar...
All of this that you see before you... is all your father's.                          --- Tudo isto que está à tua frente pertence ao teu pai.
And everything is thought-out very...                                                 --- E foi tudo muito bem...
What did you do down here?                                                            --- O que fizeste aqui em baixo?
Did you take the top off of the tower?                                                --- Tiraste o topo da torre?
It was an accident.                                                                   --- Foi um acidente.
You accidentally... expertly... carefully took the entire top off of that tower?      --- Tu tiraste por acaso... ...habilmente... ...com cuidado toda a parte superior daquela torre?
Yes.                                                                                  --- Sim.
You know the rules.                                                                   --- Tu conheces as regras.
This isn't a toy.                                                                     --- Isto não é um brinquedo.
- Um, well, it kind of is.                                                            --- -Bem, por acaso até é.
- No.                                                                                 --- -Não.
Actually, it's a highly sophisticated interlocking brick system.                      --- Por acaso, é um sistema sofisticado de colocação de tijolos.
- But we bought it at the toy store.                                                  --- Mas comprámo-lo na loja de brinquedos.
- We did. But the way I'm using it makes it an adult thing.                           --- Mas a forma como o utilizo torna-o numa coisa de adultos.
The box for this one said ages 8 to 14.                                               --- A caixa deste diz que é para dos 8 aos 14 anos.
That's a suggestion.                                                                  --- É apenas uma sugestão.
They have to put that on there.                                                       --- Eles têm de colocar isso lá.
You can't expect me to be able to resist playing with all this.                       --- Não podes esperar que eu resista a brincar com tudo isto.
You have your stuff over near the Christmas decorations.                              --- As tuas coisas estão ao pé das decorações de Natal.
All those bricks, you can build anything you want.                                    --- Podes construir o que quiseres com aquelas peças.
Finn, we're gonna play a little game.                                                 --- Finn, vamos jogar um jogo.
It's called: "Let's Put Everything Back the Way You Found it."                        --- Chama-se: "Vamos Voltar a Colocar Tudo Como Encontrámos."
But, Dad, you don't understand.                                                       --- Mas, pai, não estás a entender.
So I can make things the way they're supposed to be.                                  --- Para que eu possa fazer as coisas como devem ser.
Permanently.                                                                          --- Para sempre.
More Kragles?                                                                         --- Mais Kragles?
This rebellion ends right now.                                                        --- Esta revolta acaba imediatamente.
Commencing... micro-management.                                                       --- A iniciar micro-gestão.
Oh, no.                                                                               --- Não.
No!                                                                                   --- Não!
Ha, ha!                                                                               --- 
Fire in the hole!                                                                     --- Vai disparar!
Wait, what's happening?                                                               --- Esperem, o que se passa?
No, wait!                                                                             --- Não, esperem!
No, we're going down!                                                                 --- Vamos despenhar-nos!
Mayday!                                                                               --- Socorro!
No!                                                                                   --- Não!
Meow.                                                                                 --- Aguenta, Jeff.
Meow.                                                                                 --- 
Hold on, Jeff.                                                                        --- Aguenta, Jeff.
We're coming for you!                                                                 --- Vamos ajudar-te!
No!                                                                                   --- Não!
Stop!                                                                                 --- -Pára!
Oh, no!                                                                               --- -Não!
Arr, there be too many Micro-managers!                                                --- Há demasiados Micro-gestores!
What am I holding here?                                                               --- O que é isto?
- It's a battleship.                                                                  --- -É um navio de guerra.
- No, it's a hodgepodge.                                                              --- -Não, é uma salgalhada, isso sim.
That's what it is. What's Batman doing on it?                                         --- O que faz ali o Batman?
What is this, a robot pirate?                                                         --- O que é isto, um robô pirata?
Dang it.                                                                              --- Bolas.
Stop!                                                                                 --- Pára!
Stop it!                                                                              --- Não!
Stop it!                                                                              --- Pára!
You got glue all over that construction worker.                                       --- Encheste esse operário de cola.
Here. Give that to me.                                                                --- Dá-me cá isso.
Stop it!                                                                              --- Pára!
Stop it!                                                                              --- Pára!
Stop it! All of those are my friends!                                                 --- Todos eles são meus amigos!
No, stop it! Ye were a hearty crew.                                                   --- Vocês foram um grupo corajoso.
But it be... It be over.                                                              --- 
No!                                                                                   --- Não!
The Piece of Resistance!                                                              --- A Peça da Resistência!
I can still save them!                                                                --- Eu ainda posso salvá-los!
Let's get this gunk off this construction worker.                                     --- Vamos limpar a sujidade a este operário.
He's not just a construction worker, Dad.                                             --- Ele não é apenas um operário, pai.
He's the hero.                                                                        --- É o herói.
Nope, he's not.                                                                       --- Não, não é.
He is a ordinary, regular... generic construction worker... and I need to put him back where he belongs. --- Ele é um trabalhador da construção simples, normal e comum e tenho de voltar a pô-lo no local dele.
Now, where is my X-Acto knife?                                                        --- Onde está o meu x-acto?
I gotta get the Piece of Resistance.                                                  --- Tenho de ir buscar a Peça da Resistência.
If I could get the attention of the smaller creature.                                 --- Se eu conseguisse chamar a atenção da criatura mais pequena...
I gotta move.                                                                         --- Tenho de sair daqui.
Where is that?                                                                        --- Onde está?
Move!                                                                                 --- Mexe-te!
All right.                                                                            --- Muito bem.
Move!                                                                                 --- Mexe-te!
Now, I didn't move...                                                                 --- Eu não o tirei...
OW.                                                                                   --- -Pai?
- Uh, Dad?                                                                            --- -Pai?
- Yeah.                                                                               --- -Diz.
I think I saw the X-Acto over there near Middle Zealand.                              --- Acho que vi o x-acto ali, junto à Meia Zelândia.
Oh, great.                                                                            --- Óptimo.
Thank you.                                                                            --- Obrigado.
Welcome.                                                                              --- Não tens de quê.
It's up to you now, Emmet.                                                            --- Agora é contigo, Emmet.
Believe.                                                                              --- Acredita.
I know that sounds like a cat poster... but it's true.                                --- Eu sei que parece um daqueles cartazes com gatos, mas é verdade.
Whoa!                                                                                 --- Portal Mágico
Sorry, street.                                                                        --- Desculpa, rua.
Ho-ho!                                                                                --- 
I can see everything.                                                                 --- Eu consigo ver tudo.
Ha, ha!                                                                               --- 
What the heck is this?                                                                --- O que raio é isto?
I am a MasterBuilder.                                                                 --- Eu sou um Mestre Construtor.
Release every Micro-manager we have!                                                  --- Soltem todos os Micro-gestores!
Let's get him, fellas!                                                                --- Vamos a ele, pessoal!
Hey, everyone!                                                                        --- Olá, pessoal!
- Emmet!                                                                              --- -Emmet!
- Emmet!                                                                              --- -Emmet!
Yay!                                                                                  --- 
Lucy, I'm going inside that thing.                                                    --- Lucy, eu vou entrar naquela coisa.
You've got it, Emmet.                                                                 --- Tudo bem, Emmet.
Take that!                                                                            --- Toma lá esta!
Ha, ha!                                                                               --- Boa noite!
Good night!                                                                           --- Boa noite!
Come here!                                                                            --- Anda cá!
We'll help you out, kid.                                                              --- Nós ajudamos-te, miúdo.
Here's how we do it pirate-style!                                                     --- É assim que os piratas fazem!
Yes!                                                                                  --- Sim!
Emmet!                                                                                --- Emmet!
That's it!                                                                            --- É isso!
Take him down, boys!                                                                  --- 
Emmet!                                                                                --- Emmet!
Stay positive.                                                                        --- Mantém-te optimista.
They're tearing me apart!                                                             --- Eles estão a destruir-me!
Stay positive.                                                                        --- Mantém-te optimista!
Come on!                                                                              --- Vá lá!
Oh, forget it!                                                                        --- Esquece lá isso!
You all need to be more friendly!                                                     --- Vocês têm de ser mais simpáticos!
Emmet, go!                                                                            --- Emmet, vai!
Go!                                                                                   --- 
Now's your...                                                                         --- Agora é a tua
- ...chance!                                                                          --- -oportunidade!
- She's right!                                                                        --- -Ela tem razão!
- You can do it, me laddie!                                                           --- -Tu consegues, rapazinho!
- Go on, kid.                                                                         --- -Vai!
Get in there!                                                                         --- Entra lá dentro!
Sir, we got an intrud...!                                                             --- Chefe, temos um intru
Lord Business.                                                                        --- Lorde Negócios.
Back from the dead, Brickowski?                                                       --- Regressaste dos mortos, Brickowski?
Well, you're too late!                                                                --- Vens demasiado tarde!
Skeletrons, get him!                                                                  --- Esquelectrónicos, apanhem-no!
Argh!                                                                                 --- 
I can't move!                                                                         --- Não consigo mexer-me!
You see, your friends... oh, they're finished!                                        --- O meu mundo está quase acabado.
My world is almost finished.                                                          --- O meu mundo está quase acabado.
The last thing I need to do is finish...                                              --- A última coisa que preciso de fazer, é acabar
- ...you.                                                                             --- -Pára!
- No, stop!                                                                           --- -Pára!
Please! If you do one more thing, I'm gonna unleash my secret weapon.                 --- Se fizeres mais alguma coisa, libertarei a minha arma secreta.
Your secret weapon?                                                                   --- A tua arma secreta?
Yes, it's called:                                                                     --- Sim, chama-se:
The Power of The Special.                                                             --- O Poder do Escolhido.
That sounds dumb.                                                                     --- Parece uma coisa parva.
All right, here it comes.                                                             --- Muito bem, aqui vem ela.
My secret weapon... is this.                                                          --- A minha arma secreta
What is that?                                                                         --- O que é isso?
Is it super small?                                                                    --- É minúscula?
I don't see anything.                                                                 --- Não vejo nada.
It's my hand.                                                                         --- É a minha mão.
I want you to take it.                                                                --- Eu quero que a agarres.
You want me to take your hand off?                                                    --- Queres que eu tire a tua mão?
No, I want you to join me.                                                            --- Não, quero que te juntes a mim.
Look at all of these things that people built.                                        --- Olha para todas aquelas coisas que as pessoas construíram.
You might see a mess...                                                               --- Podes ver uma desordem
Exactly. And a bunch of weird, dorky stuff... that ruined my perfectly good stuff!    --- E um monte de coisas idiotas e esquisitas que estragaram as minhas construções perfeitas!
Okay.                                                                                 --- Muito bem.
What I see... are people inspired by each other... and by you.                        --- O que eu vejo são pessoas inspiradas umas pelas outras e por ti.
People taking what you made... and making something new out of it.                    --- Pessoas que usaram o que fizeste e construíram algo novo a partir disso.
Finn, did you make all of this?                                                       --- Finn, fizeste tudo isto?
The people are trying to stop President Business... from using the Kragle.            --- As pessoas estão a tentar impedir o Presidente de Negócios de usar o Kragle.
What's the Kragle?                                                                    --- O que é o Kragle?
Um, it's in there.                                                                    --- Está ali dentro.
In here?                                                                              --- Aqui?
So President Business is the bad guy?                                                 --- Então, o Presidente de Negócios é o vilão?
If... If the construction guy... said something to President Business... what would he say? --- Se...  Se o operário... ...dissesse alguma coisa ao Presidente de Negócios... ...o que é que ele diria?
You... don't have to be... the bad guy.                                               --- Tu... ...não tens de ser... ...o mau da fita.
You... are the most talented... most interesting... and most extraordinary person in the universe. --- És o mais talentoso... ...o mais interessante... ...e o mais extraordinário homem do universo.
And you are capable of amazing things... because you are The Special.                 --- E és capaz de coisas incríveis... ...porque és o Escolhido.
And so am I.                                                                          --- E eu também.
And so is everyone.                                                                   --- E todas as outras pessoas.
The prophecy is made-up... but it's also true.                                        --- A profecia é falsa... ...mas também é verdadeira.
It's about all of us.                                                                 --- É sobre todos nós.
Right now, it's about you.                                                            --- Neste momento, é sobre ti.
And you... still... can change everything.                                            --- E tu... ...ainda... ...podes mudar tudo.
Oh, we got a hugger.                                                                  --- Ele gosta de abraços.
Be careful.                                                                           --- Tem cuidado.
I have been told it might explode.                                                    --- Disseram-me que pode explodir.
Phew.                                                                                 --- 
Emmet, thank you.                                                                     --- Emmet, obrigado.
And I just want you to know, from the bottom of my heart... from this moment forward... I solemnly promise that I will never... --- Quero que saibas, do fundo do meu coração, que, de hoje em diante, prometo solenemente que eu nunca...
Emmet!                                                                                --- Emmet!
Hey, everyone!                                                                        --- Pessoal!
ls everyone okay?                                                                     --- Estão todos bem?
Where's Lucy?                                                                         --- Onde está a Lucy?
Emmet!                                                                                --- Emmet!
Lucy!                                                                                 --- Lucy!
We did it.                                                                            --- Conseguimos.
Oh. Uh, Emmet, wait.                                                                  --- 
Batman, there's something I need to say to you.                                       --- Batman, há algo que tenho de dizer-te.
No.                                                                                   --- Não.
Wyldstyle... I mean... ."Lucy.                                                        --- SuperCool...  Quero dizer... ...Lucy.
He's the hero you deserve.                                                            --- Ele é o herói que tu mereces.
- Uh... - Thanks, Batman.                                                             --- Obrigada, Batman.
I liked Emmet before it was cool.                                                     --- Eu gostava do Emmet antes de ele ser fixe.
Whoops, I have the antidote for the Kragle.                                           --- Eu tenho o antídoto para o Kragle.
How did that happen?                                                                  --- Como é que isto aconteceu?
Yay!                                                                                  --- 
- De-Kragler.                                                                         --- -Observa!
- Watch this.                                                                         --- -Observa!
- Yay! - Oh, Mommy, Daddy.                                                            --- Mãe, pai.
You're okay!                                                                          --- Vocês estão bem!
- Oh, son!                                                                            --- -Olá, mãe.
- Hi, Mom.                                                                            --- -Olá, mãe.
Hi, Dad.                                                                              --- Olá, pai.
We're okay, son.                                                                      --- Nós estamos bem, filho.
Ha, ha.                                                                               --- 
Guys, time to come up for dinner.                                                     --- Rapazes, venham jantar.
